 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.033,50.556,47,53,2.975,3.038,1.000,50,1,1.000,1.000,1.000
2,0.058,70.750,63,76,2.945,3.009,0.785,72,2,1.000,1.000,1.000
3,0.112,84.935,81,90,2.949,2.990,0.960,84,3,1.287,0.777,0.873
4,0.163,87.089,81,95,3.033,3.063,1.000,87,4,1.114,0.898,0.918
5,0.231,87.406,81,95,3.021,3.028,0.942,87,5,1.136,0.880,0.889
6,0.362,90.420,81,102,2.954,3.069,0.937,90,6,1.298,0.771,0.922
7,0.333,87.533,81,96,3.043,3.009,0.964,88,7,1.170,0.855,0.925
8,0.448,93.395,81,111,2.972,3.044,0.933,92,8,1.172,0.853,0.925
9,0.481,90.038,81,104,2.821,3.080,0.930,89,9,1.306,0.766,0.947
10,0.531,90.959,81,106,2.843,2.983,0.894,90,10,1.193,0.838,0.916
11,0.463,89.375,80,105,3.017,3.122,0.697,88,11,1.304,0.767,0.810
12,0.571,86.696,79,96,2.966,3.100,0.860,86,12,1.089,0.918,0.932
13,0.546,87.073,80,99,2.915,3.028,0.664,86,13,1.372,0.729,0.814
14,0.636,85.307,80,94,2.875,3.147,0.791,84,14,1.297,0.771,0.893
15,0.531,84.510,81,90,2.835,3.188,0.871,84,15,1.389,0.720,0.919
16,0.698,87.803,81,99,2.821,3.075,0.860,87,16,1.238,0.807,0.919
17,0.636,86.011,81,93,2.872,3.066,0.820,86,17,1.640,0.610,0.898
18,0.723,85.475,81,94,2.888,3.061,0.599,85,18,1.656,0.604,0.808
19,0.549,83.757,80,89,2.880,3.114,0.603,84,19,1.120,0.893,0.691
20,0.528,84.658,81,92,3.035,3.086,0.856,84,20,1.282,0.780,0.880
21,0.553,84.405,81,90,3.099,2.995,0.710,84,21,1.331,0.751,0.836
22,0.665,86.549,81,95,2.886,3.014,0.792,86,22,1.742,0.574,0.911
23,0.643,84.348,80,91,2.888,3.076,0.642,84,23,1.898,0.527,0.807
24,0.741,84.620,81,89,2.902,3.079,0.698,84,24,1.665,0.600,0.849
25,0.665,84.179,81,91,2.824,3.103,0.748,83,25,1.945,0.514,0.872
26,0.763,85.640,81,94,3.002,2.889,0.830,85,26,1.140,0.877,0.894
27,0.455,85.659,81,98,3.150,2.884,0.612,84,27,1.579,0.633,0.766
28,0.658,85.643,81,94,3.077,2.935,0.710,85,28,1.955,0.511,0.858
29,0.575,83.931,79,89,3.039,2.926,0.708,83,29,1.783,0.561,0.832
30,0.712,85.619,80,94,3.098,2.899,0.765,85,30,1.737,0.576,0.893
31,0.575,83.899,81,87,3.263,3.003,0.660,84,31,1.695,0.590,0.708
32,0.687,84.642,79,92,3.243,2.931,0.810,84,32,1.326,0.754,0.886
33,0.734,83.581,79,89,3.138,2.827,0.613,83,33,1.627,0.614,0.788
34,0.596,82.073,80,85,3.240,2.795,0.571,82,34,1.739,0.575,0.753
35,0.192,81.396,81,83,3.392,2.698,0.336,81,35,2.662,0.376,0.376
36,0.759,84.743,81,93,3.305,2.945,0.777,84,36,1.252,0.799,0.892
37,0.709,84.403,80,89,3.311,2.802,0.686,84,37,1.650,0.606,0.825
38,0.687,82.947,79,88,3.330,2.866,0.567,82,38,1.674,0.597,0.758
39,1.027,84.187,77,90,3.110,2.919,0.715,84,39,1.547,0.647,0.839
40,0.944,85.203,80,94,3.110,2.935,0.839,84,40,1.237,0.809,0.919
