 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.582,71.484,66,77,4.274,4.563,0.771,72,1,1.110,0.901,0.866
2,0.582,74.031,68,82,4.275,4.556,0.771,74,2,1.110,0.901,0.866
3,0.582,75.460,66,82,4.275,4.566,0.771,76,3,1.110,0.901,0.866
4,0.582,83.658,80,88,4.277,4.559,0.771,84,4,1.110,0.901,0.866
5,0.781,83.023,80,89,4.141,4.305,0.363,83,5,1.746,0.573,0.634
6,1.424,82.683,79,87,4.365,4.286,0.201,82,6,1.406,0.711,0.543
7,2.154,84.258,77,92,4.695,4.185,0.468,84,7,1.340,0.746,0.745
8,2.100,83.657,78,93,4.543,4.166,0.433,83,8,1.115,0.897,0.691
9,2.396,85.543,77,101,4.544,4.166,0.340,84,9,1.500,0.667,0.721
10,2.599,84.812,78,100,4.351,4.118,0.369,84,10,1.149,0.871,0.790
11,3.072,85.305,80,95,4.609,4.139,0.549,84,11,1.474,0.678,0.821
12,3.448,86.506,79,99,4.488,4.188,0.397,86,12,1.132,0.883,0.746
13,3.116,85.239,79,97,4.576,4.296,0.457,84,13,1.333,0.750,0.815
14,3.506,87.268,80,100,4.500,4.116,0.472,87,14,1.240,0.807,0.803
15,3.705,86.493,77,98,4.540,4.175,0.414,86,15,1.103,0.907,0.801
16,4.297,86.848,80,99,4.516,4.035,0.534,86,16,1.052,0.950,0.822
17,4.243,87.900,79,103,4.512,4.141,0.644,87,17,1.163,0.860,0.862
18,3.647,87.539,80,102,4.606,4.172,0.356,87,18,1.121,0.892,0.722
19,4.341,86.750,78,100,4.589,3.981,0.566,86,19,1.047,0.955,0.822
20,4.124,86.539,79,103,4.558,4.006,0.548,86,20,1.205,0.830,0.822
21,4.550,87.247,79,99,4.637,3.996,0.496,87,21,1.210,0.826,0.808
22,4.276,88.784,80,101,4.534,4.034,0.540,88,22,1.143,0.875,0.840
23,4.822,87.777,80,99,4.612,3.937,0.453,87,23,1.035,0.966,0.816
24,4.540,88.111,80,101,4.621,3.799,0.525,88,24,1.112,0.900,0.791
25,4.706,87.774,80,101,4.666,3.806,0.455,88,25,1.016,0.984,0.836
26,4.959,86.783,79,100,4.725,3.805,0.570,86,26,1.054,0.949,0.822
27,4.276,87.453,79,108,4.761,3.872,0.283,86,27,1.082,0.924,0.686
28,4.648,85.986,80,99,4.645,3.943,0.433,85,28,1.049,0.953,0.772
29,4.352,88.071,79,105,4.676,3.932,0.544,87,29,1.213,0.825,0.788
30,4.250,87.245,80,98,4.685,3.796,0.474,88,30,1.164,0.859,0.828
31,4.782,86.996,79,104,4.755,3.771,0.340,86,31,1.030,0.971,0.772
32,4.344,86.921,79,98,4.669,3.914,0.465,87,32,1.142,0.876,0.755
33,3.932,86.458,77,99,4.729,4.013,0.278,85,33,1.296,0.771,0.671
34,4.211,87.741,80,99,4.682,3.819,0.572,87,34,1.272,0.786,0.777
35,4.243,87.652,80,100,4.656,3.841,0.377,87,35,1.105,0.905,0.710
36,4.782,87.292,80,98,4.648,3.797,0.522,87,36,1.177,0.849,0.813
37,4.355,87.197,79,101,4.662,3.898,0.354,87,37,1.238,0.808,0.733
38,4.579,87.772,80,107,4.714,3.916,0.436,87,38,1.369,0.731,0.726
39,4.250,88.310,76,107,4.744,3.828,0.322,87,39,1.164,0.859,0.709
40,4.840,87.435,80,106,4.693,3.886,0.402,86,40,1.214,0.824,0.740
41,4.536,89.524,79,112,4.753,3.822,0.576,88,41,1.146,0.873,0.785
42,4.265,88.944,79,108,4.657,3.852,0.380,88,42,1.132,0.883,0.727
43,4.420,87.836,80,103,4.570,3.740,0.424,87,43,1.299,0.770,0.759
44,3.810,88.894,79,105,4.571,3.717,0.423,87,44,1.329,0.752,0.705
45,4.341,88.936,79,108,4.533,3.651,0.400,88,45,1.304,0.767,0.765
46,4.406,88.564,79,112,4.481,3.681,0.396,87,46,1.121,0.892,0.684
47,4.185,88.364,79,103,4.491,3.727,0.480,88,47,1.334,0.750,0.785
48,4.547,87.513,80,103,4.511,3.727,0.478,86,48,1.459,0.686,0.775
49,4.388,87.991,80,105,4.418,3.691,0.413,87,49,1.273,0.786,0.705
50,4.659,88.325,79,106,4.478,3.754,0.382,87,50,1.177,0.849,0.757
51,4.417,88.552,80,105,4.513,3.770,0.336,87,51,1.276,0.783,0.716
52,4.037,87.824,80,105,4.462,3.742,0.321,86,52,1.274,0.785,0.720
53,4.113,87.865,79,103,4.393,3.722,0.365,87,53,1.104,0.906,0.676
54,3.636,87.040,80,102,4.366,3.658,0.241,86,54,1.103,0.907,0.611
55,4.829,87.077,79,106,4.474,3.684,0.377,85,55,1.219,0.820,0.793
56,4.301,87.799,80,106,4.580,3.690,0.310,87,56,1.266,0.790,0.708
57,4.316,86.509,80,100,4.477,3.792,0.245,85,57,1.329,0.752,0.695
58,3.918,88.079,80,103,4.429,3.953,0.470,87,58,1.271,0.787,0.698
59,4.695,87.316,79,105,4.411,3.858,0.232,86,59,1.093,0.915,0.703
60,4.807,87.595,76,105,4.376,3.903,0.391,86,60,1.287,0.777,0.751
61,4.677,88.420,79,105,4.385,3.832,0.399,88,61,1.210,0.826,0.734
62,4.381,87.912,79,107,4.422,3.818,0.323,86,62,1.133,0.883,0.696
63,4.731,87.802,78,106,4.480,3.807,0.332,86,63,1.159,0.863,0.794
64,4.554,86.733,79,102,4.591,3.882,0.267,86,64,1.325,0.755,0.673
65,4.308,86.497,80,101,4.592,3.802,0.244,86,65,1.103,0.907,0.694
66,4.254,86.868,79,99,4.357,3.806,0.299,86,66,1.113,0.899,0.701
67,4.102,86.306,80,103,4.152,3.745,0.216,85,67,1.163,0.859,0.589
68,4.673,87.342,79,110,4.192,3.617,0.364,86,68,1.063,0.940,0.792
69,4.608,85.680,79,99,4.194,3.667,0.297,85,69,1.180,0.847,0.735
70,4.684,87.377,78,102,4.016,3.566,0.448,86,70,1.072,0.933,0.766
71,5.136,87.538,78,103,3.996,3.691,0.413,86,71,1.035,0.966,0.794
72,5.682,86.926,79,104,4.120,3.580,0.563,86,72,1.026,0.975,0.843
73,5.306,86.819,79,100,4.027,3.597,0.432,86,73,1.026,0.975,0.791
74,5.114,88.129,80,108,3.881,3.719,0.382,86,74,1.057,0.946,0.785
75,5.179,86.209,78,102,4.018,3.606,0.344,85,75,1.062,0.941,0.793
76,5.660,86.451,77,105,3.907,3.674,0.473,85,76,1.136,0.880,0.796
77,5.071,86.127,75,99,4.076,3.695,0.495,86,77,1.006,0.994,0.814
78,5.508,86.507,75,103,3.912,3.638,0.545,85,78,1.138,0.879,0.838
79,5.266,86.174,77,101,3.877,3.700,0.341,85,79,1.109,0.902,0.743
80,5.342,86.646,77,98,3.809,3.854,0.441,86,80,1.182,0.846,0.751
81,5.302,87.566,80,106,3.834,3.762,0.458,87,81,1.144,0.874,0.802
82,5.581,86.290,73,102,3.973,3.672,0.463,85,82,1.212,0.825,0.800
83,4.995,86.819,79,99,3.967,3.705,0.345,86,83,1.223,0.817,0.821
84,4.789,85.997,75,105,3.979,3.902,0.306,85,84,1.123,0.891,0.714
85,5.458,87.499,80,107,3.967,3.635,0.549,87,85,1.291,0.774,0.788
86,5.450,86.759,77,107,3.988,3.600,0.526,85,86,1.190,0.840,0.767
87,5.519,87.197,78,101,4.058,3.515,0.544,86,87,1.347,0.742,0.817
88,5.646,86.857,77,107,4.125,3.626,0.478,85,88,1.227,0.815,0.816
89,4.890,85.733,73,102,4.116,3.592,0.585,85,89,1.329,0.752,0.841
90,5.295,86.921,79,100,4.136,3.760,0.318,87,90,1.233,0.811,0.776
91,5.638,86.858,78,104,4.224,3.709,0.456,86,91,1.347,0.742,0.809
92,5.060,86.994,79,104,4.173,3.730,0.287,86,92,1.324,0.755,0.736
93,4.724,86.265,76,100,4.068,3.724,0.261,85,93,1.201,0.832,0.670
94,5.093,85.960,79,98,4.134,3.789,0.290,85,94,1.120,0.893,0.748
95,4.561,87.113,79,106,4.013,3.953,0.272,86,95,1.182,0.846,0.698
96,4.413,85.758,77,99,4.218,3.739,0.259,85,96,1.019,0.981,0.703
97,4.532,86.775,77,108,3.999,3.954,0.265,85,97,1.053,0.949,0.699
98,4.453,86.209,78,104,4.035,3.857,0.291,85,98,1.317,0.759,0.732
99,4.406,86.561,79,101,4.011,3.899,0.212,85,99,1.039,0.963,0.658
100,5.010,86.326,79,104,4.015,3.740,0.271,85,100,1.097,0.912,0.706
101,5.299,84.822,73,102,3.844,3.601,0.441,83,101,1.246,0.803,0.769
102,4.514,86.637,79,103,3.944,3.660,0.226,86,102,1.144,0.874,0.703
103,5.469,86.098,77,103,3.809,3.477,0.506,86,103,1.140,0.877,0.817
104,5.469,85.523,79,99,3.671,3.558,0.395,85,104,1.056,0.947,0.804
105,5.056,85.299,77,96,3.768,3.455,0.402,85,105,1.097,0.912,0.764
106,5.093,85.962,76,98,3.794,3.489,0.408,85,106,1.164,0.859,0.754
107,5.609,84.899,71,104,3.811,3.345,0.649,84,107,1.105,0.905,0.873
108,5.103,86.604,77,109,3.744,3.436,0.328,84,108,1.154,0.867,0.735
109,4.616,86.753,79,107,3.720,3.520,0.363,85,109,1.120,0.893,0.776
110,4.991,86.077,78,106,3.812,3.507,0.345,84,110,1.142,0.876,0.747
111,3.871,86.695,80,102,3.664,3.631,0.227,85,111,1.204,0.830,0.678
112,3.737,86.899,79,103,3.614,3.664,0.279,86,112,1.222,0.818,0.658
113,3.607,85.390,79,103,3.772,3.591,0.179,84,113,1.155,0.866,0.634
114,4.330,85.252,79,106,3.695,3.508,0.223,84,114,1.224,0.817,0.726
115,3.990,85.612,79,100,3.674,3.545,0.208,84,115,1.133,0.882,0.660
116,4.717,84.625,74,98,3.828,3.614,0.354,83,116,1.285,0.778,0.669
117,4.207,84.936,79,98,3.859,3.649,0.257,84,117,1.290,0.775,0.696
118,4.185,85.516,80,100,3.672,3.766,0.180,84,118,1.229,0.813,0.662
119,4.117,85.620,79,101,3.699,3.807,0.208,85,119,1.090,0.918,0.619
120,4.081,85.298,80,95,3.626,3.713,0.199,85,120,1.062,0.942,0.606
