 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.130,85.778,83,89,3.160,3.165,0.974,86,1,1.064,0.940,0.878
2,0.448,92.992,83,109,3.227,3.228,0.917,92,2,1.056,0.947,0.925
3,0.524,91.517,83,106,3.247,3.261,0.873,90,3,1.179,0.848,0.909
4,0.452,89.936,83,100,3.196,3.203,0.940,89,4,1.229,0.814,0.933
5,0.643,92.101,83,102,3.108,3.017,0.876,92,5,1.122,0.891,0.908
6,0.571,89.120,83,98,3.202,2.955,0.873,89,6,1.107,0.903,0.903
7,0.506,87.900,83,94,3.245,2.890,0.907,88,7,1.200,0.833,0.927
8,0.517,87.245,83,95,3.164,2.780,0.827,87,8,1.600,0.625,0.920
9,0.568,88.427,83,94,3.218,2.692,0.867,89,9,1.292,0.774,0.902
10,0.539,87.993,82,95,3.304,2.698,0.861,88,10,1.255,0.797,0.917
11,0.412,84.246,80,90,3.264,2.643,0.541,84,11,1.671,0.599,0.740
12,0.549,86.671,83,92,3.250,2.479,0.781,87,12,1.244,0.804,0.876
13,0.672,86.242,83,91,3.419,2.478,0.796,86,13,1.377,0.726,0.857
14,0.578,85.925,83,91,3.275,2.471,0.770,86,14,1.156,0.865,0.844
15,0.376,84.731,82,88,3.398,2.579,0.617,85,15,1.607,0.622,0.754
16,0.553,85.320,83,89,3.315,2.424,0.647,85,16,1.942,0.515,0.816
17,0.318,84.875,83,88,3.164,2.467,0.719,85,17,1.532,0.653,0.811
18,0.481,85.105,83,88,3.280,2.393,0.717,85,18,1.629,0.614,0.839
19,0.329,85.846,82,90,3.215,2.433,0.864,86,19,1.416,0.706,0.897
20,0.090,83.160,83,84,3.489,2.673,0.627,83,20,2.388,0.419,0.714
21,0.217,84.017,83,86,3.184,2.475,0.786,84,21,2.000,0.500,0.857
22,0.181,84.460,82,87,3.279,2.575,0.793,84,22,1.983,0.504,0.877
23,0.253,83.843,83,86,3.249,2.499,0.639,84,23,2.247,0.445,0.782
24,0.033,83.111,83,84,3.163,2.442,0.799,83,24,2.113,0.473,0.818
