 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.235,56.815,53,62,2.718,2.854,0.885,57,1,1.635,0.611,0.915
2,0.452,57.360,53,63,2.846,2.805,0.889,57,2,1.062,0.942,0.916
3,0.430,56.412,53,62,3.040,2.894,0.846,56,3,1.199,0.834,0.888
4,0.408,55.372,53,59,3.075,2.967,0.875,55,4,1.219,0.820,0.900
5,0.315,53.552,52,55,3.104,2.990,0.733,54,5,1.527,0.655,0.841
6,0.318,54.670,53,58,3.133,3.077,0.710,55,6,2.024,0.494,0.854
7,0.329,54.835,53,58,3.014,3.098,0.800,55,7,1.375,0.727,0.883
8,0.329,54.286,53,56,3.096,2.986,0.713,54,8,1.932,0.518,0.816
9,0.145,53.400,52,54,3.044,3.021,0.736,53,9,2.272,0.440,0.860
10,0.286,54.848,52,58,2.964,2.996,0.840,55,10,1.072,0.933,0.898
11,0.029,53.000,53,53,3.164,3.111,1.000,53,11,1.939,0.516,0.842
12,0.076,53.667,53,55,2.830,3.059,1.000,54,12,1.475,0.678,0.933
13,0.181,53.400,53,54,2.994,2.962,0.799,53,13,2.094,0.478,0.833
14,0.257,54.099,53,56,3.056,3.184,0.951,54,14,1.055,0.948,0.893
15,0.058,53.125,53,54,2.912,3.172,0.468,53,15,5.068,0.197,0.376
