 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.155,28.535,27,30,2.833,2.845,0.884,29,1,1.907,0.524,0.945
2,0.517,30.832,28,35,2.805,2.803,0.694,31,2,1.366,0.732,0.531
3,0.546,31.278,28,37,2.817,2.799,0.750,31,3,1.417,0.706,0.580
4,0.636,31.886,27,40,2.933,2.915,0.640,31,4,1.408,0.710,0.777
5,1.063,30.908,27,39,2.972,2.911,0.763,30,5,1.123,0.890,0.871
6,1.385,31.896,27,45,3.033,3.083,0.624,30,6,1.297,0.771,0.310
7,1.001,32.079,27,39,2.929,2.936,0.503,31,7,1.152,0.868,0.670
8,1.529,30.797,27,37,3.095,3.005,0.734,30,8,1.311,0.763,0.909
9,1.186,31.073,27,37,2.940,3.058,0.564,31,9,1.400,0.714,0.268
10,1.269,31.487,27,38,3.023,3.032,0.833,31,10,1.153,0.867,0.906
11,1.359,31.755,27,37,3.015,2.984,0.676,31,11,1.291,0.775,0.797
12,1.323,31.350,27,38,2.874,2.980,0.810,31,12,1.088,0.919,0.898
13,1.244,30.776,27,37,2.945,3.007,0.522,30,13,1.456,0.687,0.750
14,1.312,30.584,25,37,2.961,3.066,0.565,30,14,1.315,0.761,0.793
15,1.258,31.043,27,39,3.023,2.982,0.690,30,15,1.350,0.741,0.871
16,1.428,29.582,26,35,3.091,3.176,0.602,29,16,1.303,0.768,0.304
17,0.889,30.313,26,35,2.977,3.016,0.677,30,17,1.628,0.614,0.831
18,1.240,29.557,26,36,3.092,3.134,0.577,29,18,1.723,0.580,0.808
19,1.048,30.017,26,36,2.919,2.998,0.711,30,19,1.194,0.838,0.833
20,1.045,29.439,26,34,2.848,3.036,0.635,29,20,1.521,0.658,0.694
21,0.878,29.255,26,33,2.775,3.157,0.555,29,21,1.091,0.917,0.755
22,1.218,29.579,26,33,2.983,3.178,0.571,29,22,1.478,0.676,0.758
23,1.103,29.315,26,33,2.984,3.071,0.493,29,23,1.427,0.701,0.757
24,1.182,28.394,26,33,2.927,2.962,0.343,28,24,1.409,0.710,0.606
25,0.730,28.713,26,32,3.107,3.021,0.285,29,25,1.434,0.697,0.535
26,1.139,29.241,26,32,3.045,3.042,0.638,29,26,1.883,0.531,0.825
27,0.716,29.359,26,32,2.934,3.125,0.587,29,27,1.638,0.611,0.673
28,0.911,29.127,25,33,2.829,2.933,0.414,29,28,1.181,0.847,0.225
29,0.915,28.585,25,33,3.094,3.277,0.342,28,29,1.022,0.978,0.215
30,0.398,29.027,27,32,2.912,3.092,0.388,29,30,2.063,0.485,0.421
31,0.499,28.993,27,32,2.875,2.938,0.396,29,31,1.830,0.546,0.556
32,0.788,29.018,26,33,2.986,3.056,0.426,29,32,1.741,0.574,0.652
33,0.828,28.803,27,31,2.947,2.949,0.295,29,33,1.185,0.844,0.167
34,0.658,28.835,26,32,2.887,3.120,0.479,28,34,1.396,0.716,0.719
35,0.712,27.807,25,30,2.901,3.062,0.362,28,35,1.711,0.584,0.509
36,0.286,28.278,27,29,2.743,2.963,0.674,28,36,2.009,0.498,0.832
37,0.564,28.647,27,31,3.038,3.090,0.368,29,37,2.060,0.485,0.427
38,0.698,28.415,26,31,2.931,2.978,0.394,28,38,1.594,0.627,0.635
39,0.618,28.240,27,30,2.941,3.156,0.347,28,39,1.578,0.634,0.439
40,0.047,28.000,28,28,2.634,2.898,0.371,28,40,3.433,0.291,0.098
41,0.412,28.333,27,30,2.933,2.991,0.303,28,41,2.765,0.362,0.357
42,0.528,28.596,27,30,3.000,2.970,0.531,28,42,1.929,0.518,0.188
43,0.170,28.574,28,30,2.800,3.084,0.470,28,43,3.483,0.287,0.500
44,0.123,28.029,28,29,2.907,2.985,0.279,28,44,2.162,0.462,0.234
45,0.184,28.275,27,30,2.394,3.184,0.251,28,45,5.923,0.169,0.065
46,0.188,28.365,27,30,2.733,3.090,0.213,28,46,5.137,0.195,0.052
47,0.094,28.000,28,28,3.053,2.870,0.330,28,47,4.224,0.237,0.142
48,0.213,28.220,27,29,2.723,3.097,0.223,28,48,1.991,0.502,0.254
49,0.123,28.000,28,28,2.914,2.504,0.292,28,49,1.792,0.558,0.256
50,0.141,28.256,28,29,3.089,3.038,0.377,28,50,2.569,0.389,0.254
