 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.076,43.714,43,45,3.980,4.153,0.555,43,1,4.834,0.207,0.389
2,1.345,50.315,42,66,4.016,4.114,0.813,49,2,1.255,0.797,0.906
3,1.334,48.141,43,56,4.087,4.039,0.702,48,3,1.223,0.818,0.834
4,1.956,49.828,42,61,3.950,4.060,0.755,49,4,1.162,0.860,0.883
5,1.847,49.055,43,65,3.850,4.011,0.689,48,5,1.086,0.921,0.847
6,2.032,48.358,43,58,3.839,4.084,0.757,48,6,1.199,0.834,0.871
7,2.165,49.002,42,65,3.869,4.052,0.685,47,7,1.066,0.938,0.848
8,2.296,49.035,42,62,3.932,4.143,0.531,48,8,1.206,0.829,0.823
9,2.469,49.130,42,60,3.961,4.133,0.496,49,9,1.085,0.922,0.798
10,2.155,47.995,42,61,3.947,4.191,0.582,47,10,1.274,0.785,0.813
11,1.981,47.285,42,56,4.048,4.224,0.427,46,11,1.399,0.715,0.780
12,2.216,47.884,42,56,3.983,4.179,0.537,47,12,1.220,0.820,0.797
13,2.447,46.594,41,59,4.012,4.198,0.285,45,13,1.081,0.925,0.732
14,2.165,46.935,42,55,4.178,4.093,0.542,47,14,1.238,0.807,0.721
15,1.970,46.908,41,54,4.033,4.115,0.475,47,15,1.856,0.539,0.709
16,2.259,48.014,42,59,4.067,4.203,0.401,48,16,1.226,0.815,0.779
17,2.451,47.565,42,56,4.068,4.129,0.446,47,17,1.319,0.758,0.736
18,2.111,47.342,41,57,4.167,4.224,0.499,47,18,1.474,0.679,0.759
19,2.006,46.130,42,54,4.098,4.197,0.245,45,19,1.104,0.906,0.588
20,2.270,46.511,42,54,4.113,4.109,0.560,46,20,1.325,0.755,0.810
21,2.212,47.149,42,61,4.182,4.104,0.421,47,21,1.092,0.916,0.715
22,2.357,46.276,42,54,4.056,4.219,0.392,46,22,1.190,0.841,0.726
23,2.039,47.294,42,57,4.188,4.158,0.413,47,23,1.414,0.707,0.753
24,2.079,45.621,42,55,4.054,4.063,0.305,45,24,1.049,0.953,0.589
25,2.502,45.727,42,53,4.083,4.193,0.264,45,25,1.146,0.872,0.677
26,2.469,46.234,41,56,4.101,4.073,0.363,46,26,1.056,0.947,0.655
27,2.400,45.691,38,52,4.007,4.099,0.488,45,27,1.215,0.823,0.799
28,2.053,45.519,41,55,4.017,3.825,0.391,45,28,1.387,0.721,0.745
29,2.361,46.172,42,52,4.069,3.947,0.410,46,29,1.201,0.833,0.728
30,2.758,45.465,40,53,4.014,4.063,0.581,45,30,1.377,0.726,0.851
31,2.397,46.308,41,53,4.103,4.097,0.437,46,31,1.039,0.963,0.782
32,2.006,45.895,41,54,4.039,4.044,0.312,45,32,1.516,0.660,0.671
33,1.761,46.729,42,61,4.080,4.100,0.253,46,33,1.153,0.867,0.620
34,1.652,46.254,41,54,3.852,4.193,0.326,46,34,1.328,0.753,0.615
35,1.909,45.445,41,50,3.913,4.159,0.351,45,35,1.374,0.728,0.743
36,1.724,44.943,42,50,3.978,4.047,0.235,44,36,1.121,0.892,0.575
37,2.071,45.867,42,52,3.898,4.085,0.339,45,37,1.223,0.818,0.700
38,1.533,45.191,42,52,4.054,4.287,0.184,45,38,1.585,0.631,0.501
39,1.609,44.796,42,52,3.923,4.181,0.188,44,39,1.170,0.855,0.569
40,1.591,45.295,39,51,3.975,3.958,0.412,45,40,1.837,0.544,0.695
41,1.681,45.495,40,51,4.056,4.122,0.329,45,41,1.308,0.765,0.661
