 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.936,36.398,28,50,3.760,3.119,0.826,35,1,1.181,0.847,0.896
2,1.605,38.005,28,66,3.723,3.159,0.401,34,2,1.441,0.694,0.524
3,1.995,36.949,27,63,3.811,3.268,0.562,34,3,1.272,0.786,0.725
4,2.682,37.625,27,68,3.864,3.315,0.508,34,4,1.154,0.867,0.665
5,3.029,38.291,27,62,3.975,3.394,0.638,36,5,1.116,0.896,0.844
6,3.619,37.559,26,64,3.946,3.486,0.423,33,6,1.146,0.873,0.754
7,3.521,37.008,27,63,3.938,3.671,0.520,34,7,1.201,0.833,0.813
8,3.883,36.996,27,61,4.056,3.792,0.611,36,8,1.132,0.884,0.832
9,3.745,37.512,27,60,4.059,4.028,0.480,35,9,1.076,0.929,0.700
10,4.230,35.588,25,56,4.078,4.141,0.534,33,10,1.195,0.837,0.826
11,4.157,36.332,27,54,4.151,4.254,0.542,35,11,1.114,0.898,0.740
12,4.342,36.033,27,52,4.228,4.252,0.483,34,12,1.155,0.866,0.754
13,4.602,36.538,27,57,4.160,4.479,0.462,35,13,1.014,0.986,0.761
14,4.298,36.897,27,59,4.182,4.417,0.487,35,14,1.127,0.887,0.716
15,5.180,34.737,27,52,4.200,4.512,0.473,34,15,1.262,0.792,0.695
16,4.602,35.681,27,54,4.261,4.629,0.309,34,16,1.250,0.800,0.609
17,4.725,35.258,27,53,4.219,4.624,0.308,34,17,1.070,0.935,0.739
18,4.721,35.656,26,54,4.158,4.665,0.444,34,18,1.051,0.951,0.537
19,4.190,35.090,27,50,4.266,4.688,0.415,34,19,1.155,0.866,0.706
20,4.884,34.106,27,49,4.313,4.771,0.403,33,20,1.094,0.914,0.718
21,4.320,35.110,27,48,4.288,4.824,0.420,35,21,1.135,0.881,0.784
22,4.479,35.053,27,46,4.186,4.867,0.400,34,22,1.079,0.927,0.738
23,5.018,33.380,27,47,4.109,4.853,0.347,32,23,1.153,0.867,0.764
24,4.598,35.340,27,52,4.311,4.859,0.459,34,24,1.285,0.778,0.778
25,4.728,33.875,26,52,4.347,4.973,0.359,33,25,1.164,0.859,0.676
26,5.654,32.850,27,44,4.402,5.019,0.396,32,26,1.128,0.886,0.741
27,5.386,33.791,27,47,4.247,5.057,0.408,33,27,1.210,0.826,0.712
28,4.718,34.828,27,48,4.227,5.057,0.606,34,28,1.035,0.966,0.854
29,4.428,34.233,26,47,4.231,5.125,0.511,33,29,1.151,0.869,0.804
30,5.224,33.599,27,51,4.326,5.195,0.378,32,30,1.200,0.833,0.754
31,4.772,33.045,27,45,4.307,5.302,0.316,32,31,1.066,0.938,0.650
32,4.757,33.251,27,45,4.411,5.414,0.276,33,32,1.087,0.920,0.727
33,4.490,32.625,26,47,4.394,5.384,0.279,31,33,1.128,0.887,0.618
34,4.132,33.237,27,49,4.408,5.455,0.304,32,34,1.135,0.881,0.654
35,5.607,33.221,25,48,4.342,5.478,0.416,32,35,1.218,0.821,0.772
36,4.707,32.425,26,45,4.327,5.580,0.373,31,36,1.225,0.816,0.715
37,4.616,33.521,27,49,4.454,5.541,0.498,33,37,1.112,0.899,0.792
38,4.942,32.664,27,46,4.358,5.658,0.447,32,38,1.258,0.795,0.642
39,4.533,34.055,27,47,4.526,5.686,0.390,33,39,1.072,0.933,0.711
40,4.338,32.998,27,45,4.632,5.655,0.274,32,40,1.074,0.931,0.599
41,4.797,31.907,26,45,4.446,5.696,0.307,31,41,1.179,0.849,0.684
42,4.472,32.618,25,41,4.555,5.572,0.356,32,42,1.053,0.950,0.643
43,4.743,33.099,27,45,4.545,5.772,0.284,32,43,1.048,0.954,0.555
44,4.718,32.936,27,44,4.561,5.726,0.353,32,44,1.216,0.823,0.671
45,4.920,32.847,27,44,4.544,5.656,0.549,32,45,1.065,0.939,0.615
46,5.039,31.880,26,45,4.420,5.678,0.381,31,46,1.162,0.861,0.633
47,4.179,32.510,26,44,4.528,5.947,0.347,32,47,1.184,0.845,0.698
48,4.172,32.775,26,43,4.435,5.902,0.304,32,48,1.042,0.960,0.691
49,3.969,31.939,27,39,4.248,5.946,0.333,32,49,1.158,0.864,0.439
50,4.689,32.919,27,44,4.250,5.923,0.265,32,50,1.333,0.750,0.642
51,4.533,31.482,26,39,4.288,5.915,0.317,31,51,1.162,0.861,0.686
52,4.949,32.103,26,41,4.278,6.120,0.347,31,52,1.071,0.933,0.670
53,4.714,32.210,27,42,4.393,6.095,0.256,31,53,1.102,0.907,0.622
54,4.287,32.086,25,41,4.255,6.069,0.396,31,54,1.203,0.831,0.768
55,4.598,32.143,27,40,4.210,6.057,0.264,32,55,1.115,0.897,0.599
56,4.425,31.971,27,42,4.361,6.066,0.311,32,56,1.086,0.921,0.648
57,4.877,31.511,26,42,4.222,6.020,0.288,31,57,1.190,0.840,0.618
58,4.042,31.353,27,43,4.290,6.229,0.282,30,58,1.265,0.790,0.630
59,3.785,32.390,26,45,4.185,6.236,0.272,32,59,1.070,0.934,0.486
60,4.540,32.297,27,45,4.207,6.337,0.299,31,60,1.167,0.857,0.615
61,3.861,31.428,27,39,4.094,6.166,0.248,31,61,1.175,0.851,0.675
62,4.909,32.071,27,47,4.135,6.323,0.294,31,62,1.108,0.902,0.741
63,4.034,32.254,27,41,4.148,6.523,0.229,32,63,1.289,0.776,0.590
64,4.483,32.294,26,42,4.200,6.494,0.409,32,64,1.133,0.883,0.706
65,4.190,31.163,27,40,4.109,6.515,0.268,31,65,1.176,0.850,0.710
66,4.172,31.379,27,39,4.240,6.352,0.246,31,66,1.166,0.857,0.550
67,3.933,31.791,26,42,4.231,6.445,0.274,31,67,1.202,0.832,0.668
68,4.309,31.337,27,41,4.136,6.607,0.226,31,68,1.137,0.879,0.582
69,3.467,31.141,26,42,4.093,6.641,0.330,31,69,1.179,0.848,0.636
70,3.275,31.384,27,39,4.160,6.644,0.224,31,70,1.056,0.947,0.598
71,3.550,31.245,26,41,4.078,6.720,0.414,31,71,1.193,0.839,0.703
72,3.857,31.996,27,42,4.058,6.914,0.354,31,72,1.079,0.927,0.631
73,4.450,31.755,26,39,3.928,6.784,0.388,31,73,1.086,0.921,0.639
74,3.904,30.735,27,37,3.906,7.006,0.299,30,74,1.281,0.780,0.722
75,3.890,30.304,23,38,4.048,7.030,0.388,30,75,1.102,0.908,0.696
76,3.586,31.096,27,40,4.075,7.162,0.277,31,76,1.217,0.821,0.520
77,2.773,31.674,27,39,4.046,7.359,0.204,31,77,1.185,0.844,0.456
78,3.348,30.741,26,37,4.107,7.347,0.312,30,78,1.016,0.984,0.693
79,2.559,31.045,27,37,3.992,7.466,0.320,31,79,1.196,0.836,0.484
80,2.852,30.848,27,38,4.109,7.331,0.300,30,80,1.025,0.976,0.561
81,3.434,31.317,26,38,3.943,7.358,0.501,31,81,1.285,0.778,0.826
82,2.986,30.502,27,37,3.857,7.487,0.345,30,82,1.162,0.861,0.750
83,2.802,31.039,27,38,3.915,7.404,0.436,31,83,1.239,0.807,0.711
84,2.661,30.530,27,36,4.027,7.405,0.214,30,84,1.277,0.783,0.533
85,2.968,30.540,26,37,3.870,7.355,0.288,30,85,1.137,0.880,0.301
86,2.733,31.171,26,42,3.789,7.356,0.404,31,86,1.115,0.897,0.758
87,3.029,31.080,26,37,3.847,7.336,0.356,31,87,1.231,0.813,0.724
88,2.831,30.921,27,37,3.853,7.389,0.365,31,88,1.149,0.870,0.591
89,2.690,30.883,24,38,3.636,7.325,0.322,31,89,1.478,0.676,0.618
90,2.397,30.363,25,39,3.751,7.540,0.306,30,90,1.082,0.924,0.537
