 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.076,50.000,50,50,3.106,2.696,0.690,50,1,2.428,0.412,0.724
2,0.504,51.835,50,55,2.923,2.818,0.768,51,2,1.255,0.797,0.861
3,0.634,52.869,49,58,2.967,2.822,0.668,52,3,1.208,0.828,0.806
4,0.504,52.137,49,57,3.102,2.861,0.877,52,4,1.339,0.747,0.917
5,0.957,52.102,49,58,2.790,2.956,0.485,51,5,1.475,0.678,0.650
6,1.080,52.101,48,57,2.846,2.835,0.372,52,6,1.230,0.813,0.577
7,0.986,54.213,49,64,2.923,2.927,0.798,53,7,1.104,0.906,0.907
8,1.058,53.096,48,61,2.937,2.942,0.529,52,8,1.128,0.887,0.736
9,1.199,53.051,48,59,2.855,3.066,0.686,53,9,1.276,0.783,0.484
10,0.971,53.410,48,63,3.010,3.095,0.577,52,10,1.169,0.856,0.679
11,1.323,52.721,48,60,2.882,3.070,0.379,52,11,1.322,0.756,0.516
12,1.196,54.700,50,65,3.000,3.010,0.754,54,12,1.265,0.791,0.872
13,1.406,53.111,49,62,2.930,2.895,0.692,52,13,1.104,0.906,0.864
14,1.265,52.691,48,61,3.047,2.997,0.599,52,14,1.277,0.783,0.792
15,0.964,53.331,50,64,2.875,3.037,0.341,52,15,1.555,0.643,0.520
16,1.732,52.525,48,59,2.985,3.031,0.624,52,16,1.164,0.859,0.802
17,1.486,52.946,49,64,2.993,3.064,0.492,52,17,1.281,0.781,0.697
18,1.294,52.955,49,59,3.011,3.074,0.533,52,18,1.065,0.939,0.710
19,1.196,53.042,49,62,3.016,3.183,0.591,52,19,1.171,0.854,0.663
20,1.449,52.475,48,59,3.042,3.123,0.688,52,20,1.571,0.636,0.826
21,1.591,51.517,47,58,2.809,3.027,0.576,51,21,1.142,0.875,0.778
22,1.453,53.117,48,61,3.101,3.130,0.697,53,22,1.191,0.839,0.866
23,1.359,53.069,48,58,3.024,3.027,0.708,53,23,1.743,0.574,0.887
24,1.486,52.759,48,60,3.070,2.970,0.720,52,24,1.094,0.914,0.846
25,1.246,53.183,48,60,2.984,2.982,0.811,53,25,1.072,0.933,0.897
26,1.054,53.034,48,59,2.956,2.988,0.669,53,26,1.237,0.809,0.817
27,1.131,52.881,49,60,3.102,3.090,0.643,52,27,1.075,0.930,0.799
28,1.551,53.495,49,64,2.851,2.962,0.642,52,28,1.517,0.659,0.811
29,1.591,52.207,48,58,2.866,2.850,0.475,52,29,1.210,0.826,0.725
30,1.145,53.168,48,61,2.903,2.984,0.646,52,30,1.089,0.919,0.812
31,1.623,52.799,48,60,2.834,2.936,0.563,52,31,1.129,0.886,0.709
32,1.732,52.751,49,61,2.976,3.021,0.497,52,32,1.225,0.817,0.765
33,1.413,53.282,48,60,3.028,3.117,0.617,53,33,1.142,0.876,0.793
34,1.359,52.963,49,59,3.091,3.049,0.636,52,34,1.154,0.866,0.812
35,1.540,52.431,49,57,2.994,3.037,0.554,52,35,1.184,0.845,0.746
36,1.689,52.717,48,60,3.061,3.052,0.421,52,36,1.115,0.897,0.713
37,1.257,52.824,48,60,2.982,3.145,0.429,52,37,1.417,0.706,0.667
38,1.283,52.006,47,59,2.985,3.080,0.407,51,38,1.427,0.701,0.677
39,1.214,52.104,49,59,2.969,3.074,0.385,51,39,1.212,0.825,0.587
40,1.478,52.765,48,60,3.078,3.094,0.492,52,40,1.155,0.866,0.666
41,1.754,52.025,48,58,3.067,3.024,0.639,52,41,1.183,0.845,0.831
42,1.167,51.534,48,57,3.041,3.021,0.678,51,42,1.598,0.626,0.465
43,1.265,51.556,48,58,3.138,3.044,0.678,51,43,1.040,0.962,0.841
44,1.265,52.160,49,56,3.250,3.140,0.735,52,44,1.261,0.793,0.847
45,1.413,51.846,48,57,3.214,3.090,0.446,52,45,1.176,0.850,0.344
46,1.149,51.987,48,56,3.136,3.184,0.533,52,46,1.184,0.844,0.715
47,1.359,51.664,49,55,3.083,3.128,0.812,52,47,1.033,0.968,0.896
48,1.214,52.973,49,58,3.200,3.094,0.508,53,48,1.374,0.728,0.691
49,0.986,51.596,48,57,3.101,3.102,0.584,51,49,1.155,0.866,0.780
50,1.120,52.424,49,58,3.056,3.214,0.701,52,50,1.088,0.919,0.831
51,0.967,52.187,49,56,3.137,3.274,0.777,52,51,1.642,0.609,0.886
52,1.047,51.547,48,56,3.100,3.337,0.603,51,52,1.461,0.685,0.767
53,0.569,51.204,49,56,2.968,3.450,0.402,51,53,1.208,0.828,0.444
54,0.819,51.650,49,55,3.155,3.231,0.684,51,54,1.283,0.780,0.810
55,1.217,51.595,49,56,3.219,3.425,0.455,51,55,1.190,0.841,0.664
56,1.098,52.003,49,56,3.226,3.378,0.662,52,56,1.219,0.821,0.805
57,0.917,51.277,48,54,3.214,3.259,0.459,51,57,1.506,0.664,0.717
58,0.957,50.489,49,53,3.158,3.410,0.365,50,58,1.851,0.540,0.426
59,1.188,50.954,48,54,3.094,3.380,0.541,51,59,1.312,0.762,0.741
60,0.518,51.280,49,55,3.218,3.232,0.544,51,60,1.470,0.680,0.722
61,0.518,51.308,49,55,3.027,3.300,0.629,51,61,1.959,0.510,0.810
62,0.703,50.309,48,53,3.261,3.363,0.440,50,62,1.933,0.517,0.568
63,0.576,50.830,48,53,3.269,3.372,0.572,51,63,1.212,0.825,0.757
64,0.402,50.252,48,52,3.220,3.427,0.419,50,64,1.939,0.516,0.659
65,0.257,50.761,50,53,3.311,3.233,0.869,51,65,1.252,0.798,0.850
66,0.054,50.267,50,51,3.305,3.618,1.000,50,66,1.137,0.880,0.968
