 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.231,23.875,22,26,3.235,2.922,0.755,24,1,1.242,0.805,0.785
2,0.716,24.424,21,28,3.170,2.946,0.583,24,2,1.600,0.625,0.767
3,0.745,24.398,23,27,3.169,2.944,0.758,24,3,1.394,0.717,0.849
4,0.690,23.785,22,26,3.283,2.998,0.812,24,4,1.168,0.856,0.912
5,0.549,23.961,22,26,3.176,3.009,0.848,24,5,1.551,0.645,0.913
6,0.795,23.886,22,26,3.135,3.169,0.647,24,6,1.422,0.703,0.835
7,0.716,24.268,23,28,3.049,3.002,0.802,24,7,1.470,0.680,0.890
8,0.495,23.460,23,25,3.110,3.287,0.659,23,8,1.158,0.864,0.797
9,0.615,23.706,22,26,3.157,3.210,0.597,24,9,1.337,0.748,0.752
10,0.069,23.158,23,24,3.191,3.283,1.000,23,10,1.273,0.785,0.974
11,0.694,23.682,22,25,2.962,3.267,0.450,24,11,1.214,0.824,0.582
12,0.137,23.289,23,24,3.078,3.501,0.560,23,12,2.526,0.396,0.481
13,0.022,23.000,23,23,3.337,3.908,1.000,23,13,1.500,0.667,1.000
14,0.441,22.893,21,24,2.950,3.191,0.691,23,14,1.613,0.620,0.808
15,0.145,23.500,23,25,2.893,3.369,0.973,23,15,1.487,0.673,0.930
16,0.470,23.292,22,24,3.086,3.338,0.446,23,16,1.474,0.679,0.647
17,0.166,22.848,22,24,3.030,3.652,0.270,23,17,1.742,0.574,0.293
18,0.249,23.522,23,25,3.103,3.349,0.407,23,18,1.712,0.584,0.272
19,0.278,23.143,22,25,2.907,3.470,0.285,23,19,2.325,0.430,0.384
20,0.343,23.632,22,26,2.911,3.492,0.593,23,20,1.540,0.649,0.611
21,0.007,23.000,23,23,3.788,3.157,1.000,23,21,2.000,0.500,1.000
22,0.369,23.245,22,24,2.886,3.594,0.555,23,22,1.050,0.953,0.736
23,0.014,23.000,23,23,3.051,3.577,1.000,23,23,1.468,0.681,0.800
24,0.217,23.150,23,24,2.922,3.423,0.384,23,24,1.652,0.605,0.441
25,0.054,23.000,23,23,2.672,3.702,0.942,23,25,1.227,0.815,0.789
26,0.159,23.227,23,24,2.656,3.476,0.847,23,26,1.930,0.518,0.880
27,0.300,23.048,22,24,2.596,3.504,0.597,23,27,1.945,0.514,0.751
28,0.148,22.976,22,23,3.007,3.277,0.352,23,28,3.065,0.326,0.222
29,0.101,23.214,23,24,1.877,4.101,0.484,23,29,15.737,0.064,0.194
30,0.004,23.000,23,23,3.397,4.239,1.000,23,30,1.000,1.000,1.000
31,0.022,23.000,23,23,3.237,3.557,0.686,23,31,12.307,0.081,0.162
32,0.148,23.049,23,24,3.101,3.733,0.740,23,32,1.694,0.590,0.796
33,0.152,23.643,23,25,2.635,3.955,0.808,23,33,1.570,0.637,0.848
34,0.405,22.857,22,24,2.843,3.466,0.392,23,34,1.758,0.569,0.636
