 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.025,144.143,140,147,3.114,3.124,0.943,145,1,1.936,0.517,0.933
2,0.101,151.250,149,154,3.100,3.092,0.978,151,2,1.384,0.723,0.862
3,0.199,153.727,149,160,3.181,3.112,0.993,153,3,1.176,0.850,0.909
4,0.253,154.457,149,163,3.094,3.070,0.991,154,4,1.173,0.853,0.921
5,0.308,155.541,149,165,3.078,3.017,0.850,155,5,1.169,0.855,0.872
6,0.413,156.737,149,168,3.137,2.893,0.843,156,6,1.215,0.823,0.912
7,0.344,156.305,149,169,3.170,2.938,0.810,155,7,1.435,0.697,0.896
8,0.362,157.580,149,170,3.145,2.984,0.907,157,8,1.110,0.901,0.909
9,0.539,156.020,147,171,3.134,2.921,0.840,154,9,1.208,0.828,0.917
10,0.427,158.500,149,174,3.201,2.998,0.953,158,10,1.116,0.896,0.925
11,0.420,157.069,149,169,3.147,2.934,0.920,156,11,1.070,0.935,0.928
12,0.518,157.608,148,172,3.169,2.941,0.879,157,12,1.201,0.833,0.923
13,0.554,158.163,149,170,3.228,2.842,0.917,157,13,1.145,0.873,0.942
14,0.518,155.503,149,167,3.271,2.900,0.839,155,14,1.260,0.794,0.883
15,0.409,156.097,149,168,3.253,2.769,0.826,155,15,1.143,0.875,0.869
16,0.626,158.601,149,175,3.285,2.763,0.848,157,16,1.074,0.931,0.908
17,0.510,157.759,149,174,3.287,2.891,0.904,156,17,1.243,0.805,0.916
18,0.546,157.371,149,169,3.341,2.810,0.918,157,18,1.170,0.855,0.926
19,0.612,156.592,149,169,3.309,2.938,0.880,156,19,1.127,0.887,0.911
20,0.510,157.383,149,171,3.304,2.871,0.890,157,20,1.141,0.876,0.925
21,0.507,156.329,149,165,3.329,2.880,0.883,156,21,1.426,0.701,0.933
22,0.583,157.398,149,171,3.342,2.794,0.839,156,22,1.414,0.707,0.890
23,0.528,156.815,149,170,3.349,2.793,0.865,156,23,1.488,0.672,0.924
24,0.583,156.888,149,168,3.340,2.759,0.831,156,24,1.186,0.843,0.887
25,0.641,158.045,149,172,3.383,2.748,0.888,157,25,1.245,0.803,0.934
26,0.673,156.737,149,170,3.327,2.738,0.886,156,26,1.117,0.895,0.914
27,0.720,157.553,149,173,3.319,2.674,0.849,156,27,1.351,0.740,0.917
28,0.731,157.832,149,170,3.355,2.644,0.880,157,28,1.330,0.752,0.922
29,0.644,156.163,149,165,3.327,2.607,0.864,156,29,1.195,0.837,0.913
30,0.637,156.477,149,169,3.336,2.699,0.847,156,30,1.328,0.753,0.898
31,0.753,158.279,147,179,3.375,2.683,0.832,156,31,1.394,0.717,0.914
32,0.764,158.161,149,171,3.378,2.751,0.823,157,32,1.107,0.903,0.888
33,0.662,156.896,149,167,3.376,2.698,0.889,157,33,1.053,0.950,0.927
34,0.575,157.195,149,169,3.281,2.752,0.875,157,34,1.223,0.818,0.935
35,0.742,156.263,149,171,3.378,2.712,0.913,155,35,1.191,0.840,0.926
36,0.594,156.451,149,167,3.270,2.739,0.851,156,36,1.187,0.842,0.911
37,0.601,157.337,149,168,3.314,2.663,0.904,157,37,1.098,0.911,0.925
38,0.597,154.588,147,164,3.301,2.652,0.809,154,38,1.102,0.907,0.894
39,0.626,156.526,149,167,3.375,2.666,0.901,156,39,1.151,0.869,0.920
40,0.785,155.263,149,164,3.457,2.658,0.853,155,40,1.207,0.828,0.916
41,0.698,156.974,149,170,3.408,2.578,0.826,156,41,1.239,0.807,0.902
42,0.630,156.115,149,164,3.400,2.726,0.837,156,42,1.203,0.831,0.885
43,0.622,154.413,147,161,3.345,2.602,0.727,154,43,1.084,0.923,0.837
44,0.615,158.000,149,171,3.390,2.604,0.886,157,44,1.137,0.879,0.916
45,0.594,155.378,149,164,3.410,2.608,0.928,155,45,1.159,0.863,0.924
46,0.579,155.688,149,167,3.482,2.491,0.784,155,46,1.179,0.848,0.884
47,0.452,153.088,148,160,3.451,2.552,0.780,152,47,1.114,0.898,0.850
48,0.662,155.497,149,165,3.495,2.492,0.877,155,48,1.095,0.914,0.934
49,0.438,156.405,149,168,3.496,2.515,0.837,156,49,1.046,0.956,0.900
50,0.561,154.594,149,165,3.515,2.481,0.869,153,50,1.296,0.771,0.899
51,0.622,155.140,149,167,3.436,2.567,0.875,154,51,1.338,0.747,0.908
52,0.525,154.607,149,161,3.453,2.483,0.882,155,52,1.383,0.723,0.912
53,0.525,154.262,148,162,3.553,2.486,0.860,154,53,1.010,0.990,0.909
54,0.622,155.110,148,165,3.622,2.549,0.843,154,54,1.411,0.709,0.925
55,0.554,156.013,149,166,3.619,2.666,0.833,155,55,1.419,0.705,0.908
56,0.423,154.291,149,162,3.563,2.621,0.917,154,56,1.146,0.872,0.925
57,0.452,155.160,149,165,3.633,2.557,0.819,154,57,1.156,0.865,0.890
58,0.521,155.215,149,164,3.621,2.628,0.832,155,58,1.139,0.878,0.889
59,0.659,154.214,149,161,3.652,2.625,0.884,154,59,1.341,0.746,0.924
60,0.554,155.732,148,164,3.685,2.673,0.805,156,60,1.464,0.683,0.887
61,0.543,153.953,149,159,3.622,2.559,0.858,154,61,1.371,0.729,0.909
62,0.518,153.790,149,163,3.726,2.509,0.818,153,62,1.521,0.657,0.897
63,0.398,153.909,149,162,3.605,2.738,0.828,153,63,1.289,0.776,0.859
64,0.423,152.983,147,162,3.612,2.586,0.622,151,64,2.045,0.489,0.796
65,0.615,153.476,149,162,3.749,2.723,0.810,153,65,1.459,0.685,0.879
66,0.333,151.033,149,156,3.870,2.640,0.629,151,66,1.595,0.627,0.748
67,0.554,153.039,149,158,3.860,2.727,0.866,153,67,1.194,0.838,0.903
68,0.423,152.675,149,158,3.973,2.602,0.779,152,68,1.057,0.946,0.863
69,0.442,151.582,149,155,3.824,2.719,0.834,152,69,1.201,0.833,0.887
70,0.442,137.680,133,143,3.824,2.719,0.834,137,70,1.201,0.833,0.887
71,0.369,152.235,149,156,3.950,2.719,0.875,152,71,1.459,0.685,0.895
72,0.536,151.872,147,158,3.990,2.676,0.659,151,72,1.163,0.860,0.791
73,0.528,152.014,148,160,4.164,2.657,0.750,151,73,1.772,0.564,0.859
74,0.304,152.619,149,157,4.093,2.835,0.813,152,74,1.095,0.913,0.853
75,0.405,150.741,147,155,4.151,2.851,0.726,150,75,1.504,0.665,0.845
76,0.304,151.202,149,155,4.181,2.667,0.924,151,76,1.298,0.770,0.913
77,0.235,150.985,149,155,4.261,2.723,0.740,150,77,1.100,0.909,0.788
78,0.329,151.187,146,156,4.298,2.648,0.735,151,78,2.003,0.499,0.824
79,0.152,150.952,149,153,4.270,2.842,0.846,151,79,1.455,0.687,0.875
80,0.326,152.056,149,155,4.421,2.726,0.900,152,80,1.552,0.644,0.896
