 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.398,62.373,57,71,3.180,2.642,0.679,62,1,2.190,0.457,0.282
2,0.369,64.431,57,73,3.094,2.911,0.914,65,2,1.129,0.885,0.911
3,0.337,61.290,57,66,3.212,2.971,0.912,61,3,1.360,0.735,0.925
4,0.467,62.341,56,69,3.157,3.065,0.805,62,4,1.125,0.889,0.875
5,0.536,64.432,57,78,3.166,3.114,0.881,63,5,1.288,0.776,0.905
6,0.608,64.494,57,77,3.145,3.243,0.783,63,6,1.393,0.718,0.855
7,0.691,69.037,57,84,3.101,3.300,0.907,68,7,1.128,0.886,0.936
8,0.908,65.884,53,81,3.231,3.369,0.804,64,8,1.229,0.814,0.921
9,1.075,66.175,56,91,3.217,3.481,0.852,63,9,1.179,0.848,0.912
10,0.995,68.433,57,85,3.281,3.521,0.854,67,10,1.330,0.752,0.920
11,1.209,68.365,56,85,3.267,3.497,0.852,67,11,1.352,0.739,0.924
12,1.154,69.693,57,86,3.336,3.540,0.806,69,12,1.302,0.768,0.915
13,1.328,69.777,55,101,3.333,3.591,0.827,67,13,1.321,0.757,0.906
14,1.415,72.115,56,98,3.372,3.705,0.723,70,14,1.291,0.774,0.874
15,1.686,70.189,57,95,3.375,3.677,0.840,68,15,1.315,0.761,0.923
16,1.828,69.897,57,95,3.429,3.755,0.829,68,16,1.490,0.671,0.919
17,1.838,70.939,54,99,3.467,3.768,0.864,68,17,1.033,0.968,0.939
18,1.918,73.566,56,102,3.535,3.800,0.816,72,18,1.298,0.771,0.908
19,2.179,70.743,55,97,3.479,3.798,0.796,68,19,1.300,0.769,0.900
20,2.016,73.009,55,100,3.509,3.812,0.842,70,20,1.124,0.890,0.919
21,2.399,74.118,54,108,3.497,3.825,0.824,71,21,1.256,0.796,0.916
22,2.428,75.162,55,112,3.408,3.845,0.828,72,22,1.104,0.906,0.927
23,2.548,75.233,57,105,3.421,3.807,0.855,72,23,1.302,0.768,0.942
24,2.490,74.224,57,105,3.436,3.816,0.761,70,24,1.198,0.835,0.883
25,2.700,75.488,55,111,3.450,3.778,0.725,72,25,1.208,0.828,0.870
26,2.902,74.132,53,108,3.433,3.849,0.799,70,26,1.018,0.982,0.915
27,2.841,75.256,55,114,3.418,3.816,0.850,71,27,1.216,0.823,0.931
28,3.040,74.515,53,112,3.368,3.738,0.628,71,28,1.129,0.886,0.853
29,2.910,76.725,55,118,3.343,3.767,0.826,71,29,1.273,0.786,0.928
30,3.130,76.243,55,113,3.280,3.695,0.858,73,30,1.206,0.829,0.936
31,3.051,74.218,53,110,3.411,3.678,0.762,71,31,1.183,0.845,0.887
32,2.946,77.412,56,115,3.331,3.709,0.499,74,32,1.102,0.907,0.766
33,3.239,74.901,55,109,3.438,3.722,0.726,71,33,1.362,0.734,0.848
34,3.127,76.292,55,114,3.369,3.637,0.620,73,34,1.073,0.932,0.825
35,3.138,76.324,53,117,3.373,3.643,0.513,72,35,1.078,0.928,0.790
36,3.065,77.335,56,120,3.312,3.695,0.798,73,36,1.298,0.771,0.924
37,3.496,74.435,55,111,3.309,3.610,0.702,69,37,1.055,0.947,0.830
38,2.993,76.106,56,112,3.366,3.653,0.594,74,38,1.082,0.924,0.837
39,3.203,76.821,55,118,3.385,3.686,0.799,74,39,1.180,0.848,0.919
40,3.518,74.430,52,111,3.342,3.577,0.662,71,40,1.222,0.818,0.865
41,3.456,75.671,54,112,3.349,3.513,0.731,71,41,1.067,0.937,0.884
42,3.576,76.526,54,114,3.410,3.535,0.826,72,42,1.133,0.882,0.923
43,3.543,75.681,55,120,3.465,3.493,0.732,71,43,1.037,0.964,0.897
44,3.710,74.446,49,110,3.580,3.424,0.701,71,44,1.070,0.935,0.871
45,3.923,74.880,53,111,3.554,3.402,0.699,69,45,1.064,0.940,0.893
46,3.605,75.839,55,111,3.564,3.436,0.641,73,46,1.126,0.888,0.844
47,3.232,77.275,57,122,3.566,3.421,0.818,75,47,1.169,0.856,0.928
48,3.467,75.657,55,112,3.506,3.316,0.749,72,48,1.153,0.867,0.875
49,3.923,73.395,52,109,3.547,3.263,0.720,70,49,1.126,0.888,0.880
50,3.221,75.703,57,111,3.555,3.439,0.789,73,50,1.110,0.901,0.899
51,3.684,75.105,55,111,3.517,3.243,0.760,71,51,1.165,0.858,0.891
52,3.261,75.098,55,105,3.360,3.307,0.675,71,52,1.076,0.929,0.852
53,3.738,73.631,55,109,3.254,3.209,0.816,70,53,1.093,0.915,0.923
54,3.525,73.738,55,108,3.267,3.217,0.590,71,54,1.070,0.934,0.826
55,3.138,73.268,55,108,3.108,3.109,0.642,70,55,1.123,0.890,0.845
56,3.340,73.654,54,104,3.126,3.058,0.785,71,56,1.058,0.945,0.896
57,3.478,71.629,55,107,3.125,3.154,0.694,69,57,1.216,0.822,0.833
58,3.362,73.032,53,107,3.156,3.112,0.730,68,58,1.081,0.925,0.880
59,2.855,74.651,57,108,3.181,3.078,0.772,73,59,1.252,0.798,0.904
60,3.304,73.181,55,111,3.069,3.074,0.751,69,60,1.159,0.863,0.894
61,2.986,75.236,55,114,3.157,3.043,0.752,72,61,1.186,0.843,0.892
62,3.275,73.253,56,112,3.155,2.969,0.764,68,62,1.082,0.924,0.901
63,2.971,73.907,54,105,3.101,3.027,0.737,71,63,1.070,0.935,0.887
64,2.837,73.124,54,103,3.294,3.134,0.804,69,64,1.161,0.861,0.922
65,3.377,71.195,54,111,3.406,3.079,0.796,67,65,1.143,0.875,0.927
66,2.750,73.086,55,99,3.481,3.309,0.757,70,66,1.216,0.822,0.890
