 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.054,48.600,45,51,3.582,2.844,1.000,49,1,1.435,0.697,0.882
2,0.054,58.000,53,61,3.581,2.843,1.000,58,2,1.435,0.697,0.882
3,0.054,65.267,63,67,3.582,2.842,1.000,65,3,1.435,0.697,0.882
4,0.054,62.800,59,66,3.582,2.843,1.000,63,4,1.435,0.697,0.882
5,0.054,67.467,64,70,3.582,2.843,1.000,68,5,1.435,0.697,0.882
6,0.054,70.800,69,73,3.582,2.842,1.000,71,6,1.435,0.697,0.882
7,0.054,69.000,65,72,3.582,2.843,1.000,69,7,1.435,0.697,0.882
8,0.054,75.733,75,77,3.583,2.841,1.000,76,8,1.435,0.697,0.882
9,0.058,75.250,75,76,3.355,2.816,0.559,75,9,7.505,0.133,0.344
10,0.322,77.326,73,83,3.120,2.888,0.393,76,10,2.714,0.368,0.453
11,0.398,77.627,74,84,3.224,2.861,0.721,77,11,1.709,0.585,0.849
12,0.608,79.179,75,86,2.988,2.733,0.695,79,12,2.547,0.393,0.896
13,0.626,81.451,75,93,3.009,2.800,0.716,81,13,1.725,0.580,0.863
14,0.669,78.459,74,84,2.971,2.782,0.622,78,14,1.956,0.511,0.831
15,0.597,79.188,74,91,2.985,2.823,0.566,78,15,1.598,0.626,0.645
16,0.745,79.019,72,92,2.962,2.882,0.712,77,16,2.091,0.478,0.878
17,0.832,80.726,75,95,2.866,2.867,0.753,79,17,1.708,0.586,0.888
18,0.677,81.342,74,93,2.927,2.863,0.808,80,18,1.672,0.598,0.908
19,0.836,82.710,75,96,2.935,2.859,0.808,82,19,1.467,0.681,0.917
20,0.785,81.387,75,89,3.003,2.859,0.724,81,20,1.875,0.533,0.863
21,0.760,80.805,74,91,2.973,2.824,0.819,80,21,1.539,0.650,0.907
22,0.774,80.140,75,89,2.934,2.844,0.755,80,22,1.774,0.564,0.868
23,0.742,80.566,75,90,2.894,2.878,0.777,80,23,1.753,0.571,0.882
24,0.796,80.150,75,90,2.905,2.839,0.800,80,24,1.633,0.612,0.902
25,0.883,81.102,74,93,2.963,2.912,0.710,79,25,2.069,0.483,0.895
26,0.829,81.546,74,96,2.929,2.904,0.840,80,26,1.507,0.664,0.914
27,1.013,80.589,73,91,2.929,2.895,0.762,80,27,1.645,0.608,0.896
28,1.021,80.543,72,93,2.871,2.830,0.809,80,28,1.482,0.675,0.913
29,1.097,79.218,74,87,2.871,2.876,0.765,79,29,1.343,0.745,0.887
30,0.923,79.576,74,89,2.949,2.892,0.711,79,30,1.344,0.744,0.869
31,1.136,80.971,73,93,2.915,2.825,0.593,80,31,1.720,0.581,0.826
32,0.988,80.223,73,90,3.041,2.809,0.530,80,32,1.719,0.582,0.754
33,0.887,79.882,74,92,2.905,2.864,0.656,79,33,1.700,0.588,0.863
34,0.999,80.830,75,94,2.982,2.867,0.757,79,34,1.653,0.605,0.914
35,1.035,82.378,73,95,2.947,2.833,0.863,82,35,1.180,0.847,0.936
36,0.916,82.656,73,96,2.919,2.936,0.796,81,36,1.760,0.568,0.957
37,0.926,82.312,74,96,2.967,2.876,0.678,81,37,1.884,0.531,0.898
38,0.774,79.140,75,88,2.895,2.872,0.646,79,38,2.045,0.489,0.859
39,0.717,79.995,74,89,2.939,2.853,0.745,80,39,1.638,0.610,0.900
40,1.173,80.778,71,93,2.823,2.881,0.676,80,40,1.804,0.554,0.852
41,0.912,80.615,74,90,2.908,2.826,0.698,80,41,2.188,0.457,0.872
42,1.082,77.602,74,85,2.899,2.892,0.597,77,42,1.929,0.518,0.797
43,0.861,81.101,75,91,2.917,2.882,0.700,81,43,2.026,0.493,0.856
44,0.934,80.267,73,91,2.921,2.837,0.637,80,44,1.587,0.630,0.818
45,0.930,81.603,74,91,3.018,2.910,0.722,81,45,1.688,0.592,0.910
46,1.082,79.408,73,90,2.879,2.940,0.642,79,46,1.389,0.720,0.815
47,0.966,82.154,74,96,3.032,2.885,0.791,81,47,1.679,0.596,0.913
48,0.934,80.612,74,88,3.043,2.828,0.715,80,48,1.989,0.503,0.872
49,1.183,79.312,74,88,3.024,2.963,0.639,79,49,1.704,0.587,0.856
50,1.317,81.121,74,91,3.061,3.015,0.731,81,50,1.786,0.560,0.911
51,1.368,79.103,74,91,2.965,2.928,0.624,78,51,1.716,0.583,0.807
52,1.129,78.522,73,85,2.929,2.901,0.549,78,52,2.186,0.457,0.775
53,0.897,79.569,75,88,2.967,2.862,0.583,79,53,2.702,0.370,0.842
54,1.144,80.022,73,88,2.969,2.855,0.646,80,54,1.889,0.529,0.835
55,1.205,78.982,73,92,2.995,2.957,0.556,78,55,1.454,0.688,0.781
56,1.129,79.359,74,87,3.054,2.958,0.505,78,56,1.657,0.603,0.707
57,1.042,80.882,75,95,3.038,2.960,0.610,79,57,2.198,0.455,0.829
58,0.995,80.167,73,91,3.089,2.938,0.679,79,58,1.415,0.707,0.833
59,1.368,81.304,72,95,2.923,2.953,0.556,80,59,1.436,0.696,0.813
60,1.263,79.705,72,88,2.909,2.954,0.510,80,60,1.816,0.551,0.760
61,1.075,78.875,74,87,3.083,2.988,0.511,78,61,1.445,0.692,0.604
62,1.408,80.638,74,93,2.966,2.980,0.704,80,62,1.756,0.570,0.878
63,1.122,80.645,73,90,2.815,3.034,0.736,80,63,2.024,0.494,0.910
64,1.086,79.700,73,88,2.967,3.039,0.781,79,64,1.458,0.686,0.897
65,1.194,80.512,74,88,2.966,3.004,0.537,80,65,1.541,0.649,0.770
66,1.328,79.169,73,95,2.909,2.871,0.585,77,66,2.081,0.481,0.817
67,1.292,78.541,69,90,2.821,2.913,0.553,77,67,1.743,0.574,0.775
68,1.115,79.117,72,87,2.830,2.960,0.402,79,68,1.953,0.512,0.648
69,1.042,79.729,74,91,3.014,2.973,0.658,79,69,1.620,0.617,0.836
70,1.133,80.022,73,91,3.078,3.055,0.791,80,70,1.428,0.700,0.907
71,1.107,80.729,73,94,2.838,3.004,0.633,79,71,1.840,0.544,0.841
72,1.115,81.192,73,96,2.932,3.018,0.665,79,72,1.587,0.630,0.842
73,1.010,81.201,74,92,3.023,3.055,0.773,80,73,1.562,0.640,0.899
74,0.905,79.224,73,89,3.043,3.035,0.589,79,74,1.831,0.546,0.737
75,0.963,80.575,74,94,2.639,2.979,0.737,79,75,1.807,0.553,0.896
76,0.843,80.567,73,91,2.791,2.948,0.428,80,76,1.856,0.539,0.671
77,0.821,81.097,75,91,2.948,3.060,0.785,81,77,1.525,0.656,0.912
78,0.952,81.099,73,92,2.693,2.965,0.678,80,78,1.480,0.676,0.834
79,0.789,81.344,75,92,2.877,2.990,0.762,81,79,1.419,0.705,0.881
80,0.807,80.283,75,87,2.961,2.854,0.691,80,80,1.689,0.592,0.853
81,0.941,80.996,73,91,2.784,2.936,0.691,81,81,1.568,0.638,0.836
82,0.926,79.438,74,90,2.847,2.965,0.632,78,82,1.597,0.626,0.806
83,1.010,79.853,73,93,2.953,3.030,0.586,78,83,1.351,0.740,0.771
84,0.677,79.818,74,90,2.755,2.967,0.781,79,84,1.586,0.631,0.888
85,0.836,81.723,74,93,2.723,2.934,0.838,81,85,1.221,0.819,0.920
86,0.923,79.639,73,90,2.815,3.003,0.605,78,86,1.299,0.770,0.806
87,0.771,80.742,75,88,2.647,2.966,0.828,80,87,1.094,0.914,0.906
88,0.767,81.868,75,93,2.696,2.957,0.834,81,88,1.452,0.689,0.916
