 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.130,66.139,63,68,3.066,3.126,1.000,66,1,1.254,0.798,0.900
2,0.596,79.224,71,92,3.081,3.124,0.889,78,2,1.093,0.915,0.912
3,0.575,77.270,71,86,3.019,3.044,0.896,77,3,1.102,0.908,0.930
4,0.633,78.566,70,89,3.029,3.090,0.890,78,4,1.133,0.882,0.916
5,0.502,77.676,71,88,3.027,3.126,0.935,77,5,1.250,0.800,0.942
6,0.625,76.879,71,88,3.007,3.093,0.872,76,6,1.079,0.927,0.913
7,0.636,76.869,71,85,2.946,3.082,0.760,77,7,1.330,0.752,0.865
8,0.676,76.182,71,84,2.990,3.141,0.800,76,8,1.219,0.820,0.880
9,0.643,75.022,70,81,2.943,3.133,0.868,75,9,1.086,0.921,0.892
10,0.694,76.781,71,86,3.038,3.190,0.822,76,10,1.315,0.760,0.901
11,0.719,75.528,71,83,3.043,3.149,0.841,75,11,1.127,0.887,0.907
12,0.607,74.946,71,81,3.031,3.078,0.827,75,12,1.277,0.783,0.891
13,0.589,74.546,69,84,3.045,3.135,0.742,73,13,1.274,0.785,0.847
14,0.546,73.894,71,77,3.052,3.111,0.864,74,14,1.445,0.692,0.896
15,0.622,73.453,70,76,2.944,3.127,0.855,74,15,1.445,0.692,0.917
16,0.455,74.373,71,81,3.080,3.134,0.739,74,16,1.130,0.885,0.826
17,0.535,72.865,71,75,2.983,3.071,0.746,73,17,1.259,0.794,0.839
18,0.658,73.220,69,77,2.915,3.022,0.707,73,18,1.432,0.698,0.847
19,0.362,73.210,70,78,2.962,3.126,0.544,73,19,1.806,0.554,0.545
20,0.463,72.719,70,77,2.911,2.974,0.829,72,20,1.333,0.750,0.880
21,0.271,71.747,70,74,2.939,3.099,0.510,71,21,2.698,0.371,0.739
22,0.268,72.919,71,75,2.877,2.979,0.855,73,22,1.711,0.584,0.919
23,0.318,73.170,70,78,2.789,3.037,0.851,73,23,1.384,0.722,0.876
24,0.495,72.504,70,77,2.951,3.041,0.704,73,24,1.827,0.547,0.867
25,0.213,72.780,71,75,2.906,3.184,0.696,73,25,1.589,0.629,0.596
26,0.340,73.277,71,78,2.928,3.017,0.842,73,26,1.312,0.762,0.862
27,0.463,72.719,70,77,2.984,2.905,0.714,73,27,2.056,0.486,0.871
