 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,1.479,86.357,70,120,4.027,4.066,0.733,83,1,1.074,0.931,0.850
2,2.487,92.529,68,154,4.063,4.118,0.712,85,2,1.109,0.902,0.894
3,2.859,95.609,70,159,4.108,4.032,0.778,88,3,1.069,0.935,0.908
4,3.611,98.945,70,185,4.085,4.073,0.739,91,4,1.148,0.871,0.888
5,4.143,100.125,69,193,4.123,4.043,0.818,92,5,1.010,0.990,0.914
6,4.533,101.811,69,186,4.100,4.054,0.819,93,6,1.026,0.975,0.934
7,4.819,100.722,69,180,4.120,4.024,0.754,90,7,1.033,0.968,0.899
8,4.902,103.973,70,186,4.100,4.030,0.792,96,8,1.025,0.975,0.922
9,5.094,103.154,70,183,4.150,4.088,0.779,98,9,1.029,0.971,0.912
10,5.195,103.624,69,181,4.197,4.115,0.833,95,10,1.027,0.974,0.931
11,5.310,103.285,70,187,4.228,4.101,0.762,96,11,1.090,0.918,0.906
12,5.473,104.616,68,183,4.191,4.151,0.814,96,12,1.099,0.910,0.929
13,5.451,103.443,70,168,4.206,4.117,0.826,97,13,1.101,0.908,0.931
14,6.221,100.188,69,161,4.246,4.133,0.735,92,14,1.120,0.893,0.904
15,5.701,103.005,69,176,4.255,4.145,0.825,96,15,1.117,0.895,0.930
16,6.088,100.105,69,169,4.295,4.196,0.771,93,16,1.062,0.941,0.927
17,6.135,100.438,69,169,4.248,4.101,0.824,94,17,1.032,0.969,0.934
18,6.008,101.696,69,166,4.280,4.194,0.816,96,18,1.065,0.939,0.934
19,6.294,99.108,70,159,4.313,4.176,0.744,94,19,1.104,0.906,0.916
20,6.272,100.468,69,163,4.365,4.241,0.755,95,20,1.060,0.943,0.918
21,6.388,100.222,69,158,4.356,4.212,0.799,95,21,1.060,0.943,0.933
22,6.550,98.462,69,152,4.389,4.243,0.722,92,22,1.077,0.929,0.905
23,6.272,99.086,69,160,4.396,4.235,0.751,93,23,1.041,0.961,0.906
24,6.102,98.876,69,154,4.411,4.275,0.812,93,24,1.084,0.923,0.924
25,6.493,97.628,68,155,4.429,4.295,0.732,92,25,1.110,0.901,0.911
26,6.547,96.887,69,151,4.488,4.319,0.698,92,26,1.139,0.878,0.897
27,6.193,96.957,70,148,4.516,4.273,0.813,93,27,1.072,0.933,0.933
28,5.965,96.151,69,139,4.488,4.301,0.672,94,28,1.093,0.915,0.876
29,6.117,96.544,68,151,4.490,4.317,0.611,93,29,1.122,0.891,0.872
30,6.272,95.040,69,146,4.530,4.374,0.679,90,30,1.092,0.916,0.890
31,6.344,95.717,69,142,4.508,4.364,0.729,92,31,1.084,0.923,0.903
32,5.979,96.284,68,147,4.532,4.421,0.735,93,32,1.027,0.974,0.908
33,6.048,94.764,68,144,4.482,4.374,0.711,91,33,1.145,0.873,0.892
34,6.254,95.238,70,146,4.486,4.476,0.744,91,34,1.151,0.869,0.907
35,5.929,95.444,69,148,4.483,4.386,0.604,93,35,1.106,0.904,0.876
36,6.095,95.088,69,142,4.538,4.395,0.662,92,36,1.062,0.941,0.884
37,6.225,94.113,68,143,4.486,4.383,0.616,89,37,1.047,0.955,0.848
38,6.532,92.952,68,134,4.449,4.433,0.683,89,38,1.050,0.952,0.885
39,6.330,92.973,68,146,4.528,4.411,0.669,88,39,1.063,0.940,0.883
40,5.911,93.916,67,139,4.521,4.380,0.599,90,40,1.157,0.865,0.850
41,5.849,93.730,69,141,4.538,4.452,0.635,90,41,1.080,0.926,0.859
42,5.925,93.421,69,143,4.515,4.473,0.789,89,42,1.090,0.918,0.936
43,5.791,92.515,68,140,4.562,4.450,0.628,88,43,1.089,0.918,0.813
44,5.939,91.737,68,129,4.503,4.495,0.676,87,44,1.096,0.912,0.879
45,6.178,91.878,69,135,4.575,4.458,0.756,87,45,1.077,0.929,0.913
46,6.200,90.216,67,128,4.550,4.518,0.683,87,46,1.134,0.882,0.889
47,6.124,90.800,68,134,4.537,4.524,0.593,86,47,1.133,0.882,0.852
48,5.755,92.651,69,134,4.585,4.571,0.700,89,48,1.114,0.897,0.899
49,5.571,92.584,69,136,4.566,4.509,0.708,89,49,1.047,0.955,0.899
50,5.654,90.660,69,125,4.624,4.552,0.753,88,50,1.084,0.923,0.894
