 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.076,86.048,77,91,2.951,3.003,1.000,86,1,1.475,0.678,0.933
2,0.076,111.143,97,119,2.950,3.005,1.000,112,2,1.475,0.678,0.933
3,0.076,127.810,119,135,2.953,3.002,1.000,129,3,1.475,0.678,0.933
4,0.076,141.571,137,146,2.952,3.001,1.000,142,4,1.475,0.678,0.933
5,0.112,143.742,137,151,3.016,3.020,0.886,144,5,1.399,0.715,0.849
6,0.166,150.696,137,168,2.971,2.999,1.000,149,6,1.153,0.867,0.929
7,0.232,149.984,137,167,2.971,2.983,0.958,149,7,1.070,0.934,0.908
8,0.235,146.215,137,158,2.903,3.051,0.920,146,8,1.148,0.871,0.890
9,0.250,151.290,137,171,2.911,3.124,0.939,150,9,1.190,0.840,0.902
10,0.214,147.542,137,160,2.961,3.148,0.883,147,10,1.352,0.740,0.881
11,0.286,152.924,137,176,2.951,3.094,0.887,151,11,1.159,0.863,0.883
12,0.257,151.521,137,171,2.946,3.156,0.966,151,12,1.370,0.730,0.928
13,0.246,152.897,137,170,2.929,3.184,0.926,153,13,1.352,0.740,0.919
14,0.297,156.402,137,182,2.915,3.185,0.934,156,14,1.271,0.787,0.916
15,0.275,152.789,137,175,2.922,3.118,0.944,151,15,1.211,0.826,0.921
16,0.337,155.161,137,177,2.906,3.141,0.900,155,16,1.326,0.754,0.899
17,0.261,150.347,137,168,2.895,3.112,0.943,150,17,1.172,0.853,0.929
18,0.315,150.943,137,172,3.036,3.084,0.912,149,18,1.361,0.735,0.921
19,0.322,149.112,137,169,3.001,3.125,0.797,147,19,1.416,0.706,0.868
20,0.308,152.047,137,171,3.015,3.079,0.935,151,20,1.299,0.770,0.919
21,0.318,151.716,137,172,3.051,3.046,0.880,151,21,1.323,0.756,0.903
22,0.329,153.143,137,175,3.063,3.074,0.892,152,22,1.187,0.842,0.901
23,0.304,153.024,137,177,3.025,3.055,0.880,152,23,1.405,0.712,0.903
24,0.366,155.297,137,178,2.995,3.063,0.917,154,24,1.301,0.769,0.931
25,0.402,156.117,137,184,3.014,3.073,0.896,155,25,1.231,0.812,0.917
26,0.344,157.200,138,184,2.978,3.014,0.932,157,26,1.114,0.898,0.922
27,0.333,153.728,137,178,3.012,3.040,0.932,152,27,1.180,0.847,0.925
28,0.402,152.874,137,177,3.017,3.090,0.845,151,28,1.435,0.697,0.902
29,0.380,153.790,137,180,2.968,3.046,0.873,151,29,1.355,0.738,0.901
30,0.449,156.056,137,183,2.971,3.043,0.944,154,30,1.326,0.754,0.943
31,0.384,155.028,137,179,3.027,2.984,0.932,154,31,1.116,0.896,0.930
32,0.413,156.053,137,184,3.010,3.010,0.858,155,32,1.265,0.791,0.901
33,0.409,158.274,137,190,3.067,3.098,0.860,157,33,1.227,0.815,0.904
34,0.398,155.945,137,182,3.011,3.073,0.910,154,34,1.271,0.787,0.940
