 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.580,148.371,136,167,3.288,2.964,0.967,147,1,1.162,0.860,0.952
2,0.922,150.273,136,177,3.211,2.933,0.875,148,2,1.073,0.932,0.927
3,1.093,152.040,136,187,3.133,2.961,0.837,148,3,1.482,0.675,0.935
4,1.247,152.974,136,192,3.166,2.976,0.879,149,4,1.150,0.869,0.936
5,1.247,154.348,136,190,3.074,2.973,0.850,151,5,1.201,0.833,0.928
6,1.429,156.314,136,202,3.045,2.918,0.930,151,6,1.041,0.961,0.954
7,1.491,154.098,136,193,2.968,2.910,0.767,150,7,1.152,0.868,0.888
8,1.527,152.150,135,190,2.874,2.874,0.814,149,8,1.217,0.822,0.900
9,1.698,151.678,134,192,2.966,2.939,0.670,146,9,1.321,0.757,0.851
10,1.684,153.121,133,191,2.961,2.971,0.721,149,10,1.044,0.958,0.867
11,1.658,155.569,135,199,2.933,2.959,0.859,151,11,1.112,0.899,0.936
12,1.691,156.009,136,193,2.931,2.984,0.855,153,12,1.242,0.805,0.922
13,1.709,153.493,135,195,2.957,2.979,0.857,149,13,1.120,0.893,0.919
14,1.487,156.353,136,201,2.860,2.956,0.883,151,14,1.066,0.938,0.938
15,1.615,154.659,136,188,2.853,2.951,0.863,151,15,1.111,0.900,0.935
16,1.680,156.291,136,190,2.917,2.887,0.831,153,16,1.092,0.916,0.912
17,1.808,153.919,135,190,2.890,2.887,0.778,151,17,1.035,0.966,0.892
18,1.811,154.264,136,189,2.863,2.870,0.831,150,18,1.091,0.917,0.918
19,1.830,154.020,136,188,2.935,2.871,0.809,150,19,1.203,0.831,0.905
20,1.684,153.069,135,187,2.937,2.924,0.833,149,20,1.108,0.902,0.915
21,1.801,154.897,135,190,2.983,2.895,0.849,152,21,1.026,0.975,0.920
22,1.717,155.032,136,189,2.923,2.900,0.844,151,22,1.055,0.948,0.912
23,1.855,154.438,136,190,2.881,2.914,0.788,151,23,1.010,0.990,0.907
24,1.877,153.392,136,183,2.979,2.916,0.819,150,24,1.064,0.940,0.912
25,1.691,154.231,136,186,2.930,2.933,0.871,151,25,1.081,0.925,0.933
