 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,198.592,37.111,14,51,13.337,14.196,0.673,39,1,2.008,0.498,0.944
2,198.154,37.500,14,55,13.173,14.392,0.674,40,2,2.009,0.498,0.943
3,197.646,37.376,14,58,13.173,14.415,0.671,40,3,2.006,0.498,0.944
4,196.929,37.469,14,57,13.160,14.421,0.671,40,4,2.008,0.498,0.944
5,197.389,37.553,14,58,13.146,14.424,0.677,40,5,2.006,0.499,0.945
6,196.403,37.445,14,57,13.178,14.394,0.676,40,6,2.001,0.500,0.945
7,196.748,37.383,14,64,13.165,14.434,0.678,40,7,2.007,0.498,0.946
8,196.530,37.286,14,61,13.175,14.412,0.677,40,8,1.994,0.501,0.947
9,196.208,37.398,14,59,13.162,14.442,0.682,40,9,2.008,0.498,0.947
10,196.005,37.414,14,63,13.159,14.477,0.678,40,10,2.003,0.499,0.947
11,195.595,37.299,14,60,13.186,14.463,0.672,40,11,2.006,0.498,0.944
12,194.849,37.415,14,65,13.178,14.486,0.677,40,12,2.015,0.496,0.945
13,194.682,37.359,14,62,13.181,14.480,0.675,40,13,2.018,0.496,0.942
14,194.690,37.359,14,61,13.187,14.479,0.682,40,14,2.015,0.496,0.944
15,193.809,37.174,14,64,13.189,14.484,0.675,40,15,2.019,0.495,0.944
16,193.429,37.327,14,59,13.204,14.485,0.674,40,16,2.017,0.496,0.942
17,193.164,37.299,14,64,13.216,14.487,0.677,40,17,2.018,0.496,0.943
18,192.508,37.351,14,59,13.228,14.476,0.674,40,18,2.020,0.495,0.945
19,191.918,37.353,14,62,13.247,14.465,0.678,40,19,2.021,0.495,0.943
20,191.679,37.459,14,59,13.263,14.478,0.675,40,20,2.016,0.496,0.943
21,190.519,37.577,14,58,13.264,14.491,0.675,40,21,2.029,0.493,0.942
22,190.773,37.358,14,61,13.274,14.484,0.678,40,22,2.019,0.495,0.942
23,190.102,37.408,14,58,13.262,14.501,0.674,40,23,2.021,0.495,0.943
24,189.787,37.470,14,60,13.297,14.475,0.673,40,24,2.020,0.495,0.941
25,189.559,37.340,14,60,13.290,14.485,0.681,40,25,2.019,0.495,0.945
26,188.983,37.340,14,59,13.264,14.505,0.679,40,26,2.021,0.495,0.943
27,188.776,37.630,14,60,13.309,14.462,0.675,40,27,2.021,0.495,0.944
28,188.686,37.637,14,64,13.276,14.499,0.678,40,28,2.022,0.494,0.942
29,188.341,37.587,14,58,13.289,14.499,0.678,40,29,2.017,0.496,0.945
30,188.153,37.693,14,61,13.283,14.511,0.674,40,30,2.016,0.496,0.941
31,188.388,37.635,14,60,13.294,14.514,0.674,40,31,2.016,0.496,0.942
32,187.997,37.758,14,61,13.308,14.528,0.675,40,32,2.018,0.495,0.943
33,187.439,37.774,14,60,13.321,14.535,0.675,40,33,2.026,0.493,0.941
34,187.207,37.697,14,59,13.332,14.540,0.675,40,34,2.029,0.493,0.940
35,186.743,37.860,14,57,13.363,14.514,0.674,40,35,2.025,0.494,0.940
36,186.541,37.700,14,60,13.344,14.554,0.674,40,36,2.025,0.494,0.938
37,185.653,37.586,14,60,13.351,14.573,0.671,40,37,2.031,0.492,0.938
38,185.983,37.548,14,59,13.358,14.574,0.671,40,38,2.028,0.493,0.938
39,185.845,37.523,14,59,13.365,14.573,0.672,40,39,2.025,0.494,0.941
40,186.305,37.496,14,60,13.352,14.587,0.670,40,40,2.025,0.494,0.938
41,186.370,37.508,14,58,13.365,14.567,0.672,40,41,2.023,0.494,0.940
42,186.852,37.515,14,57,13.364,14.562,0.677,40,42,2.014,0.497,0.940
43,186.512,37.484,14,58,13.392,14.552,0.680,40,43,2.020,0.495,0.943
44,185.794,37.598,14,56,13.387,14.570,0.683,40,44,2.021,0.495,0.940
45,185.319,37.527,14,57,13.384,14.590,0.670,40,45,2.016,0.496,0.940
46,185.341,37.424,14,56,13.395,14.575,0.670,40,46,2.005,0.499,0.938
47,185.214,37.495,14,55,13.416,14.571,0.673,40,47,2.002,0.499,0.938
48,185.327,37.303,14,58,13.395,14.600,0.676,40,48,2.003,0.499,0.939
49,184.356,37.289,14,57,13.419,14.588,0.675,40,49,1.997,0.501,0.939
50,183.863,37.299,14,58,13.423,14.608,0.673,40,50,1.992,0.502,0.935
51,184.037,37.163,14,56,13.408,14.621,0.674,40,51,1.985,0.504,0.937
52,183.490,36.889,14,56,13.400,14.634,0.674,39,52,1.986,0.504,0.940
53,183.265,36.961,14,56,13.400,14.632,0.670,39,53,1.982,0.505,0.937
54,183.414,36.843,14,55,13.407,14.627,0.671,39,54,1.975,0.506,0.939
55,183.283,36.796,14,56,13.411,14.646,0.673,39,55,1.974,0.507,0.939
56,182.993,36.685,14,56,13.385,14.678,0.677,39,56,1.972,0.507,0.940
57,182.682,36.627,14,54,13.422,14.652,0.678,39,57,1.973,0.507,0.940
58,184.232,36.221,13,53,13.423,14.651,0.676,39,58,1.968,0.508,0.940
59,183.711,36.227,13,54,13.407,14.691,0.679,39,59,1.966,0.509,0.942
60,183.417,35.913,13,55,13.414,14.676,0.681,38,60,1.967,0.509,0.941
61,183.193,35.904,13,55,13.407,14.690,0.677,38,61,1.965,0.509,0.941
62,182.011,35.959,13,53,13.406,14.688,0.675,39,62,1.968,0.508,0.940
63,182.700,35.625,13,53,13.421,14.656,0.679,38,63,1.966,0.509,0.946
64,182.294,35.398,13,52,13.436,14.632,0.686,38,64,1.968,0.508,0.947
65,182.105,35.196,13,53,13.430,14.625,0.682,38,65,1.963,0.509,0.945
66,181.508,34.889,13,51,13.427,14.609,0.679,37,66,1.968,0.508,0.946
67,180.960,34.557,13,50,13.428,14.620,0.687,37,67,1.966,0.509,0.949
