 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.195,78.222,75,84,3.230,3.207,0.894,78,1,1.269,0.788,0.900
2,0.347,77.781,74,83,3.218,3.117,0.871,77,2,1.313,0.762,0.897
3,0.387,80.336,75,89,3.186,3.054,0.901,79,3,1.266,0.790,0.926
4,0.478,79.894,75,87,3.124,3.079,0.903,80,4,1.250,0.800,0.920
5,0.402,79.279,75,85,3.095,3.002,0.935,79,5,1.099,0.910,0.925
6,0.485,79.433,74,86,3.000,2.987,0.775,79,6,1.293,0.773,0.879
7,0.474,78.969,75,86,3.117,2.955,0.896,78,7,1.117,0.895,0.913
8,0.384,78.547,75,84,3.078,2.856,0.882,78,8,1.633,0.612,0.914
9,0.431,79.193,75,86,3.127,2.725,0.906,79,9,1.276,0.783,0.922
10,0.496,79.971,75,89,3.127,2.682,0.874,79,10,1.453,0.688,0.945
11,0.546,80.503,75,91,3.091,2.726,0.826,79,11,1.433,0.698,0.880
12,0.594,80.293,74,90,3.121,2.674,0.884,79,12,1.239,0.807,0.921
13,0.651,79.517,75,88,3.072,2.588,0.838,79,13,1.036,0.965,0.882
14,0.706,80.856,73,93,3.205,2.601,0.814,80,14,1.172,0.853,0.899
15,0.514,79.070,75,85,3.141,2.606,0.812,79,15,1.173,0.853,0.887
16,0.633,80.686,75,90,3.082,2.458,0.861,80,16,1.132,0.883,0.904
17,0.655,79.751,75,88,3.016,2.339,0.851,79,17,1.227,0.815,0.900
18,0.648,79.598,75,87,3.189,2.348,0.797,79,18,1.402,0.713,0.891
19,0.554,77.993,73,82,3.189,2.378,0.825,78,19,1.295,0.772,0.872
20,0.673,79.478,74,89,3.092,2.358,0.624,79,20,1.396,0.716,0.825
21,0.778,80.847,73,91,3.088,2.356,0.828,80,21,1.100,0.909,0.894
22,0.662,80.240,74,90,3.161,2.240,0.790,79,22,1.243,0.804,0.893
23,0.753,81.880,75,94,3.206,2.254,0.850,81,23,1.070,0.934,0.918
24,0.575,79.616,75,86,3.222,2.204,0.837,79,24,1.335,0.749,0.898
25,0.474,80.183,75,90,3.174,2.162,0.931,79,25,1.077,0.928,0.926
26,0.442,79.082,75,87,3.217,2.047,0.918,78,26,1.237,0.809,0.914
27,0.601,79.458,75,85,3.177,2.088,0.865,79,27,1.266,0.790,0.907
28,0.771,79.620,75,88,3.215,2.119,0.881,79,28,1.012,0.988,0.906
29,0.767,77.670,74,82,3.215,2.219,0.762,78,29,1.106,0.904,0.853
30,0.651,79.683,75,87,3.164,2.055,0.882,79,30,1.229,0.814,0.933
31,0.615,78.435,74,84,3.111,1.959,0.754,78,31,1.048,0.954,0.870
32,0.680,79.287,75,88,3.380,2.047,0.771,78,32,1.297,0.771,0.851
33,0.764,79.351,74,86,3.334,2.001,0.599,79,33,1.031,0.970,0.795
34,0.807,80.780,75,88,3.330,1.878,0.845,80,34,1.150,0.869,0.897
35,0.673,80.882,75,89,3.364,1.945,0.924,80,35,1.243,0.805,0.932
36,0.597,78.224,75,84,3.408,1.974,0.868,78,36,1.174,0.852,0.914
37,0.492,78.779,75,83,3.341,1.890,0.858,79,37,1.284,0.779,0.904
38,0.684,80.349,75,88,3.283,1.846,0.799,80,38,1.298,0.771,0.873
39,0.525,79.345,75,88,3.398,1.780,0.860,78,39,1.278,0.783,0.898
40,0.499,78.935,75,86,3.254,1.717,0.848,78,40,1.358,0.736,0.908
41,0.536,78.101,75,83,3.267,1.789,0.790,78,41,1.452,0.689,0.863
42,0.594,79.244,75,84,3.267,1.836,0.737,79,42,1.876,0.533,0.863
43,0.536,79.534,75,86,3.224,1.650,0.817,79,43,1.146,0.873,0.886
44,0.691,78.524,74,89,3.281,1.644,0.479,77,44,1.628,0.614,0.697
45,0.369,77.049,75,81,3.281,1.477,0.679,77,45,1.080,0.926,0.580
46,0.655,77.481,73,82,3.200,1.605,0.623,77,46,1.619,0.618,0.789
47,0.485,78.037,75,83,3.314,1.483,0.827,78,47,1.183,0.846,0.882
48,0.684,77.190,75,82,3.328,1.490,0.734,77,48,1.176,0.850,0.871
49,0.583,77.404,74,81,3.366,1.504,0.666,77,49,1.444,0.692,0.787
50,0.612,77.432,75,82,3.330,1.460,0.810,77,50,1.518,0.659,0.909
51,0.492,76.934,75,81,3.290,1.341,0.885,77,51,1.187,0.842,0.901
52,0.550,78.079,74,83,3.301,1.332,0.763,78,52,1.536,0.651,0.864
53,0.702,77.186,74,82,3.381,1.384,0.692,77,53,1.224,0.817,0.831
54,0.659,77.335,74,80,3.299,1.346,0.884,77,54,1.237,0.808,0.910
55,0.608,77.744,74,84,3.378,1.247,0.824,77,55,1.330,0.752,0.911
56,0.905,78.792,74,84,3.287,1.263,0.685,78,56,1.188,0.842,0.853
57,0.818,78.973,75,87,3.344,1.286,0.769,78,57,1.081,0.925,0.861
58,0.760,79.152,74,87,3.420,1.199,0.816,78,58,1.276,0.784,0.919
59,0.926,79.062,74,85,3.385,1.254,0.845,79,59,1.157,0.864,0.919
60,0.416,78.096,75,84,3.348,1.059,0.786,77,60,1.242,0.805,0.842
61,0.869,77.867,74,84,3.402,1.133,0.786,77,61,1.128,0.887,0.868
62,0.601,76.849,74,83,3.345,1.145,0.614,76,62,2.234,0.448,0.816
63,0.785,77.493,75,82,3.408,1.214,0.803,77,63,1.307,0.765,0.889
64,0.597,78.588,73,84,3.348,1.082,0.817,78,64,1.361,0.735,0.930
65,0.724,77.835,75,82,3.372,1.012,0.711,78,65,1.297,0.771,0.844
66,0.648,77.285,73,82,3.459,1.012,0.725,77,66,1.241,0.806,0.842
67,0.641,78.469,75,83,3.449,0.899,0.880,78,67,1.048,0.954,0.908
68,0.724,77.270,73,82,3.414,0.904,0.827,77,68,1.234,0.811,0.895
69,0.470,78.531,74,83,3.406,1.075,0.935,79,69,1.320,0.757,0.956
70,0.470,66.169,61,72,3.408,1.083,0.935,66,70,1.320,0.757,0.956
71,0.673,76.817,74,80,3.411,0.952,0.825,77,71,1.471,0.680,0.949
72,0.427,76.754,75,79,3.387,0.794,0.835,77,72,1.525,0.656,0.937
73,0.579,75.425,73,78,3.362,0.970,0.492,75,73,1.737,0.576,0.611
74,0.431,75.924,74,80,3.408,0.838,0.341,75,74,3.215,0.311,0.579
75,0.290,75.675,74,77,3.411,0.651,0.499,76,75,2.581,0.387,0.637
76,0.362,75.640,74,78,3.450,1.067,0.514,75,76,3.049,0.328,0.763
77,0.366,76.010,74,79,3.431,0.619,0.599,76,77,1.979,0.505,0.777
78,0.290,75.338,74,77,3.371,0.662,0.507,75,78,1.578,0.634,0.590
79,0.210,76.000,75,78,3.462,0.575,0.608,76,79,2.715,0.368,0.498
80,0.206,75.912,75,77,3.533,0.382,0.747,76,80,1.211,0.826,0.870
