 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.596,49.248,44,58,4.586,4.262,0.898,49,1,1.219,0.820,0.927
2,0.969,50.302,43,64,4.577,4.240,0.803,49,2,1.095,0.913,0.887
3,1.298,52.086,43,66,4.558,4.232,0.794,50,3,1.183,0.845,0.934
4,1.569,51.988,44,67,4.655,4.348,0.537,51,4,1.260,0.794,0.763
5,1.858,53.156,43,70,4.673,4.423,0.782,52,5,1.188,0.842,0.896
6,2.049,53.811,43,74,4.620,4.429,0.641,53,6,1.383,0.723,0.839
7,2.292,53.377,43,71,4.540,4.399,0.643,52,7,1.496,0.668,0.823
8,2.523,54.042,43,75,4.521,4.370,0.749,52,8,1.070,0.934,0.893
9,3.130,53.241,43,75,4.526,4.337,0.526,50,9,1.269,0.788,0.814
10,2.902,53.843,43,74,4.580,4.229,0.588,51,10,1.128,0.887,0.816
11,2.993,53.051,43,77,4.571,4.217,0.705,50,11,1.259,0.794,0.883
12,3.267,53.463,42,75,4.537,4.248,0.572,52,12,1.278,0.783,0.846
13,3.105,53.213,43,75,4.668,4.217,0.701,51,13,1.164,0.859,0.877
14,3.578,52.848,43,71,4.534,4.397,0.570,51,14,1.341,0.746,0.832
15,3.593,53.649,43,71,4.491,4.313,0.632,53,15,1.258,0.795,0.839
16,4.005,52.968,43,76,4.728,4.354,0.567,51,16,1.016,0.984,0.781
17,3.582,52.539,43,69,4.709,4.402,0.587,50,17,1.252,0.799,0.821
18,3.600,52.699,43,72,4.701,4.390,0.457,50,18,1.157,0.864,0.759
19,3.777,52.700,43,70,4.754,4.372,0.721,51,19,1.067,0.937,0.840
20,3.947,52.474,43,76,4.767,4.276,0.590,50,20,1.145,0.873,0.822
21,3.907,52.618,43,71,4.657,4.341,0.716,51,21,1.155,0.865,0.888
22,3.669,53.352,43,76,4.653,4.138,0.574,51,22,1.230,0.813,0.806
23,3.571,52.646,42,67,4.673,4.035,0.622,52,23,1.084,0.923,0.818
24,3.958,53.450,43,71,4.545,4.002,0.455,53,24,1.149,0.870,0.703
25,3.907,52.978,43,72,4.508,4.107,0.670,51,25,1.127,0.888,0.869
26,4.128,52.849,43,72,4.534,4.140,0.596,51,26,1.039,0.963,0.867
27,4.153,52.136,43,74,4.551,4.044,0.536,50,27,1.146,0.873,0.781
28,4.569,51.760,43,71,4.534,4.134,0.563,50,28,1.103,0.906,0.803
29,3.889,52.838,43,73,4.561,4.174,0.568,52,29,1.064,0.939,0.819
30,4.008,52.753,43,70,4.576,4.125,0.562,51,30,1.113,0.899,0.820
31,4.178,51.633,43,66,4.632,4.237,0.599,50,31,1.027,0.973,0.830
32,4.373,51.825,43,67,4.541,4.292,0.653,51,32,1.101,0.908,0.880
33,4.373,52.729,43,68,4.591,4.307,0.593,51,33,1.148,0.871,0.834
34,4.030,52.952,43,71,4.692,4.379,0.588,52,34,1.115,0.896,0.871
35,3.802,52.642,43,68,4.577,4.310,0.467,52,35,1.112,0.899,0.771
36,4.185,52.406,42,69,4.667,4.164,0.535,51,36,1.211,0.826,0.815
37,4.836,51.617,41,70,4.660,4.135,0.662,50,37,1.144,0.874,0.881
38,4.247,51.372,42,68,4.767,4.224,0.669,51,38,1.113,0.898,0.855
39,4.287,52.340,43,67,4.800,4.131,0.499,52,39,1.182,0.846,0.786
40,4.341,52.024,42,66,4.778,4.120,0.718,51,40,1.183,0.845,0.904
