 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.184,92.843,78,107,3.292,3.162,0.921,93,1,1.582,0.632,0.903
2,0.184,130.059,121,142,3.287,3.158,0.921,130,2,1.582,0.632,0.903
3,0.401,144.396,121,175,3.205,3.211,0.935,143,3,1.324,0.755,0.933
4,0.369,139.225,121,163,3.153,3.120,0.926,138,4,1.253,0.798,0.919
5,0.423,147.094,121,183,3.055,3.063,0.985,144,5,1.108,0.902,0.944
6,0.484,150.746,121,195,3.148,3.128,0.953,148,6,1.169,0.856,0.937
7,0.430,145.008,121,183,3.275,3.051,0.944,142,7,1.173,0.853,0.937
8,0.546,147.881,121,188,3.231,3.165,0.909,146,8,1.138,0.878,0.912
9,0.481,150.083,121,192,3.230,3.203,0.909,148,9,1.119,0.894,0.905
10,0.535,147.324,121,186,3.261,3.273,0.900,145,10,1.279,0.782,0.928
11,0.546,146.252,121,180,3.125,3.258,0.928,144,11,1.195,0.837,0.947
12,0.571,145.810,121,187,3.126,3.254,0.895,143,12,1.211,0.826,0.911
13,0.549,144.553,121,181,3.177,3.259,0.901,141,13,1.268,0.789,0.927
14,0.618,146.971,121,186,3.234,3.228,0.922,143,14,1.231,0.812,0.932
15,0.568,147.535,121,182,3.182,3.191,0.931,146,15,1.287,0.777,0.940
16,0.557,140.078,121,166,3.147,3.214,0.881,138,16,1.384,0.723,0.922
17,0.618,143.649,121,176,3.211,3.172,0.900,141,17,1.294,0.773,0.929
18,0.593,140.250,121,166,3.252,3.173,0.884,139,18,1.554,0.644,0.929
19,0.582,141.087,121,171,3.310,3.023,0.889,139,19,1.277,0.783,0.920
20,0.593,142.543,121,177,3.272,3.103,0.872,140,20,1.449,0.690,0.937
21,0.586,144.673,121,176,3.356,3.014,0.904,143,21,1.396,0.716,0.934
22,0.571,141.120,121,165,3.338,3.099,0.882,139,22,1.490,0.671,0.924
23,0.506,137.421,121,159,3.282,3.010,0.861,137,23,1.707,0.586,0.940
24,0.582,138.180,121,161,3.252,2.954,0.868,136,24,1.495,0.669,0.928
25,0.521,138.021,121,156,3.205,3.001,0.876,138,25,1.362,0.734,0.914
26,0.593,138.671,121,158,3.363,3.076,0.872,137,26,1.505,0.665,0.929
27,0.524,134.717,121,151,3.282,2.999,0.905,135,27,1.413,0.708,0.927
28,0.593,136.787,121,153,3.342,3.034,0.893,137,28,1.556,0.643,0.945
29,0.528,139.123,121,160,3.171,3.032,0.865,138,29,1.543,0.648,0.927
30,0.557,133.643,121,147,3.316,3.083,0.859,134,30,1.474,0.678,0.914
31,0.615,138.894,121,162,3.312,3.074,0.853,137,31,1.571,0.636,0.926
32,0.582,138.366,121,161,3.312,3.013,0.886,136,32,1.379,0.725,0.931
33,0.571,136.899,121,157,3.347,2.989,0.913,136,33,1.314,0.761,0.940
34,0.557,137.591,121,158,3.274,3.031,0.868,137,34,1.630,0.613,0.933
35,0.596,138.558,121,162,3.305,3.056,0.898,137,35,1.461,0.684,0.940
36,0.669,138.708,121,161,3.217,2.955,0.878,139,36,1.345,0.743,0.923
37,0.658,139.956,121,164,3.339,2.972,0.892,138,37,1.320,0.757,0.936
38,0.611,133.426,121,148,3.272,2.964,0.829,134,38,1.673,0.598,0.929
39,0.669,137.146,121,152,3.375,2.980,0.824,137,39,1.434,0.697,0.900
40,0.553,134.693,121,148,3.315,3.049,0.907,135,40,1.224,0.817,0.930
41,0.531,136.626,121,158,3.339,2.989,0.918,135,41,1.272,0.786,0.930
42,0.568,135.669,121,156,3.386,2.957,0.855,135,42,1.419,0.705,0.926
43,0.452,132.480,121,145,3.325,3.011,0.889,133,43,1.393,0.718,0.919
44,0.575,133.327,121,150,3.419,3.079,0.866,133,44,1.240,0.806,0.906
