 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.087,98.000,93,101,3.107,3.206,0.916,99,1,1.412,0.708,0.857
2,0.087,117.333,116,119,3.108,3.206,0.916,117,2,1.412,0.708,0.857
3,0.127,117.429,116,120,2.880,3.160,0.793,117,3,1.600,0.625,0.824
4,0.148,119.976,116,125,3.007,3.109,0.976,120,4,1.215,0.823,0.891
5,0.264,120.425,116,127,3.020,2.997,0.927,120,5,1.099,0.910,0.890
6,0.072,116.400,116,117,2.924,2.876,0.898,116,6,1.441,0.694,0.833
7,0.177,119.286,116,124,3.014,3.047,0.988,119,7,1.225,0.816,0.907
8,0.134,118.027,116,121,2.976,2.999,0.855,118,8,1.712,0.584,0.914
9,0.177,120.980,116,128,2.964,3.104,0.885,120,9,1.328,0.753,0.875
10,0.188,120.846,116,126,3.117,2.950,0.982,121,10,1.424,0.702,0.912
11,0.170,118.234,116,122,3.081,2.918,0.887,118,11,1.835,0.545,0.887
12,0.181,121.900,116,129,3.095,2.953,0.962,122,12,1.272,0.786,0.917
13,0.156,118.860,116,123,3.070,3.023,0.954,119,13,1.511,0.662,0.887
14,0.163,120.978,116,128,3.062,3.056,0.951,120,14,1.089,0.918,0.874
15,0.232,122.188,116,133,2.977,2.997,0.958,121,15,1.187,0.842,0.914
16,0.206,119.632,116,125,3.146,2.969,0.889,119,16,1.267,0.789,0.884
17,0.138,118.132,116,121,3.090,2.990,0.974,118,17,1.433,0.698,0.916
18,0.228,121.381,116,130,3.071,3.007,0.983,120,18,1.254,0.798,0.920
19,0.282,121.192,116,127,3.145,2.921,0.935,121,19,1.401,0.714,0.923
20,0.282,123.192,116,134,3.122,3.000,0.935,122,20,1.271,0.787,0.918
21,0.253,121.057,116,128,3.090,2.942,0.938,121,21,1.159,0.862,0.892
22,0.242,121.164,116,127,3.200,2.900,0.948,121,22,1.079,0.927,0.905
23,0.214,120.068,116,125,3.133,2.964,0.920,120,23,1.365,0.733,0.894
24,0.333,123.011,116,133,3.121,2.951,0.964,122,24,1.186,0.843,0.920
25,0.159,119.591,116,124,3.167,2.886,0.996,120,25,1.158,0.863,0.907
26,0.206,121.965,116,130,3.131,2.856,0.927,121,26,1.278,0.783,0.898
27,0.261,120.625,116,127,3.120,2.857,0.980,120,27,1.142,0.876,0.923
28,0.217,119.350,116,124,3.137,2.789,0.898,119,28,1.191,0.839,0.889
29,0.192,121.189,116,127,3.170,2.859,0.975,121,29,1.316,0.760,0.930
30,0.192,119.925,116,125,3.196,2.828,0.877,119,30,1.200,0.833,0.876
31,0.090,118.400,116,121,3.086,2.800,0.873,118,31,1.375,0.728,0.806
32,0.043,116.417,116,117,3.224,2.807,0.967,116,32,1.579,0.633,0.889
33,0.119,117.879,116,120,3.140,2.752,1.000,118,33,1.239,0.807,0.917
34,0.130,119.139,116,123,3.161,2.864,0.857,119,34,1.390,0.720,0.857
35,0.072,116.650,116,118,3.149,2.849,0.815,117,35,1.604,0.623,0.769
36,0.101,118.786,116,122,3.152,2.755,1.000,118,36,1.307,0.765,0.903
37,0.043,116.583,116,118,3.249,2.527,1.000,116,37,1.000,1.000,0.857
