 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,423.863,25.014,15,42,12.300,13.826,0.542,25,1,1.250,0.800,0.947
2,464.695,24.201,13,52,12.284,13.983,0.576,25,2,1.259,0.794,0.952
3,467.272,24.191,13,58,12.274,14.092,0.564,25,3,1.261,0.793,0.948
4,471.663,24.117,12,62,12.270,14.156,0.599,25,4,1.273,0.785,0.954
5,474.381,24.120,0,67,12.259,14.211,0.536,25,5,1.274,0.785,0.942
6,473.525,24.122,12,65,12.273,14.245,0.545,24,6,1.275,0.785,0.946
7,474.945,24.086,12,64,12.317,14.196,0.562,24,7,1.276,0.784,0.943
8,471.699,24.145,12,62,12.373,14.124,0.587,24,8,1.271,0.787,0.943
9,470.228,24.138,12,68,12.445,13.967,0.581,24,9,1.266,0.790,0.944
10,466.542,24.175,11,66,12.540,13.828,0.608,24,10,1.263,0.792,0.945
11,461.637,24.196,12,64,12.661,13.681,0.565,24,11,1.254,0.797,0.934
12,458.923,24.232,13,68,12.738,13.573,0.609,24,12,1.252,0.799,0.937
13,455.355,24.201,12,65,12.812,13.451,0.613,24,13,1.252,0.799,0.935
14,452.471,24.288,0,66,12.840,13.387,0.575,24,14,1.259,0.794,0.939
15,449.283,24.307,0,68,12.876,13.351,0.565,24,15,1.250,0.800,0.934
16,448.181,24.277,12,70,12.910,13.274,0.588,24,16,1.245,0.803,0.944
17,452.713,24.161,11,67,12.949,13.277,0.560,24,17,1.239,0.807,0.933
18,444.303,24.360,13,65,12.984,13.196,0.617,24,18,1.236,0.809,0.943
19,442.589,24.434,12,64,12.998,13.192,0.606,25,19,1.235,0.810,0.947
20,441.126,24.439,13,61,13.062,13.180,0.614,25,20,1.227,0.815,0.945
21,440.883,24.397,13,72,13.080,13.181,0.602,24,21,1.224,0.817,0.940
22,438.877,24.396,13,63,13.121,13.205,0.598,25,22,1.219,0.821,0.941
23,437.291,24.401,12,61,13.156,13.234,0.636,24,23,1.211,0.826,0.950
24,437.855,24.351,13,60,13.162,13.257,0.626,24,24,1.217,0.822,0.949
25,436.658,24.318,12,64,13.222,13.299,0.617,24,25,1.218,0.821,0.952
26,436.875,24.299,11,68,13.258,13.287,0.574,24,26,1.221,0.819,0.957
27,433.951,24.368,12,56,13.302,13.354,0.591,25,27,1.225,0.817,0.951
