 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.054,79.200,79,80,2.740,3.297,0.976,79,1,1.869,0.535,0.909
2,0.419,81.293,79,85,2.761,3.265,0.501,81,2,2.348,0.426,0.450
3,0.307,80.718,79,83,2.824,3.168,0.861,80,3,1.156,0.865,0.872
4,0.506,82.800,79,90,2.716,3.290,0.652,82,4,1.223,0.817,0.720
5,0.481,79.842,79,82,2.787,3.046,0.707,80,5,1.230,0.813,0.831
6,0.564,81.853,77,89,2.755,3.235,0.521,81,6,1.827,0.547,0.594
7,0.376,81.202,79,85,2.843,3.089,0.861,81,7,1.304,0.767,0.912
8,0.795,80.482,77,85,2.718,3.114,0.552,80,8,1.532,0.653,0.790
9,0.282,79.103,77,82,2.621,3.311,0.229,79,9,1.926,0.519,0.444
10,0.260,79.736,79,82,2.853,3.093,0.596,80,10,1.146,0.872,0.667
11,0.119,79.061,78,80,2.796,3.293,0.556,79,11,2.655,0.377,0.759
12,0.119,79.727,79,82,2.628,3.033,0.560,79,12,4.110,0.243,0.437
13,0.257,80.113,78,83,2.817,2.934,0.821,80,13,1.326,0.754,0.861
14,0.365,80.634,78,85,2.980,3.259,0.475,80,14,1.510,0.662,0.592
15,0.300,79.952,78,84,2.869,3.052,0.346,79,15,1.955,0.511,0.419
16,0.423,79.966,78,83,2.694,3.209,0.666,79,16,1.863,0.537,0.807
17,0.152,79.548,79,81,2.916,3.289,0.522,79,17,1.522,0.657,0.491
18,0.177,79.449,78,81,3.101,3.041,0.369,79,18,5.504,0.182,0.298
19,0.521,79.785,77,83,2.705,2.920,0.281,80,19,1.405,0.712,0.320
20,0.271,79.827,79,83,2.901,2.914,0.425,79,20,2.655,0.377,0.508
21,0.249,80.333,79,83,2.668,3.255,0.544,80,21,1.648,0.607,0.523
22,0.325,79.544,77,82,2.897,3.173,0.306,79,22,1.313,0.762,0.339
23,0.083,79.304,79,80,2.935,2.846,0.657,79,23,1.810,0.552,0.289
24,0.163,79.422,79,81,2.903,2.874,0.580,79,24,2.736,0.365,0.726
25,0.105,79.310,79,80,2.722,2.694,0.472,79,25,3.735,0.268,0.426
26,0.184,79.176,77,80,2.525,2.742,0.268,79,26,2.581,0.387,0.383
27,0.228,79.556,79,81,2.740,2.925,0.455,79,27,2.288,0.437,0.627
28,0.087,79.458,79,81,2.656,2.415,0.635,79,28,3.982,0.251,0.417
29,0.040,79.000,79,79,2.829,3.025,0.420,79,29,6.051,0.165,0.157
30,0.112,79.387,79,81,2.875,2.832,0.394,79,30,3.626,0.276,0.190
31,0.014,79.000,79,79,3.127,3.127,1.000,79,31,1.000,1.000,1.000
32,0.221,79.721,79,81,2.314,2.847,0.478,80,32,5.654,0.177,0.575
33,0.130,79.111,79,80,2.604,2.654,0.509,79,33,3.414,0.293,0.471
