 ,Area,Mean,Min,Max,XM,YM,Circ.,Median,Slice,AR,Round,Solidity
1,0.198,78.855,74,85,2.942,2.992,0.910,78,1,1.322,0.756,0.902
2,0.426,80.992,74,92,3.151,3.007,0.718,80,2,2.018,0.496,0.308
3,0.541,86.833,74,111,3.032,3.010,0.880,84,3,1.030,0.970,0.917
4,0.689,85.215,74,108,3.124,2.873,0.790,82,4,1.255,0.797,0.884
5,0.905,84.669,73,104,3.012,3.053,0.733,83,5,1.244,0.804,0.838
6,0.999,86.830,74,116,3.133,3.019,0.874,83,6,1.131,0.884,0.931
7,1.003,87.396,74,123,3.129,3.005,0.746,82,7,1.123,0.891,0.855
8,1.024,89.081,74,122,3.046,3.106,0.882,85,8,1.052,0.950,0.925
9,1.050,87.704,72,117,3.051,3.071,0.826,85,9,1.086,0.920,0.905
10,1.024,85.254,72,108,3.131,2.971,0.827,83,10,1.309,0.764,0.915
11,1.010,89.532,72,117,3.027,3.122,0.832,87,11,1.210,0.827,0.895
12,1.147,86.619,74,108,3.047,3.111,0.819,85,12,1.256,0.796,0.919
13,1.306,86.975,71,121,3.128,3.101,0.720,83,13,1.138,0.879,0.860
14,1.252,87.671,74,117,3.144,3.156,0.871,85,14,1.064,0.940,0.923
15,1.284,88.593,74,124,3.208,3.255,0.643,85,15,1.228,0.814,0.682
16,1.407,88.351,74,126,3.112,3.278,0.834,84,16,1.336,0.748,0.903
17,1.349,87.848,73,126,3.049,3.303,0.843,84,17,1.171,0.854,0.902
18,1.306,90.182,73,128,3.100,3.244,0.762,86,18,1.096,0.912,0.884
19,1.313,90.319,74,125,3.103,3.370,0.805,86,19,1.116,0.896,0.903
20,1.504,87.331,73,130,2.961,3.400,0.739,81,20,1.145,0.873,0.886
21,1.313,91.363,74,131,3.009,3.385,0.820,88,21,1.250,0.800,0.905
22,1.468,86.762,72,122,3.075,3.430,0.809,83,22,1.362,0.734,0.892
23,1.418,88.613,73,120,3.023,3.434,0.744,83,23,1.259,0.794,0.867
24,1.526,88.388,74,127,3.094,3.477,0.741,85,24,1.209,0.827,0.890
25,1.713,89.185,73,135,3.095,3.572,0.769,83,25,1.205,0.830,0.896
26,1.547,86.837,73,125,3.114,3.405,0.821,82,26,1.094,0.914,0.911
27,1.692,90.094,71,136,3.051,3.485,0.802,85,27,1.150,0.869,0.893
28,1.721,86.438,71,129,3.153,3.407,0.649,81,28,1.089,0.918,0.830
29,1.436,87.636,72,122,3.273,3.427,0.773,83,29,1.161,0.861,0.890
30,1.367,89.340,73,122,3.160,3.452,0.779,86,30,1.146,0.873,0.891
31,1.324,89.384,73,121,3.280,3.500,0.773,86,31,1.005,0.995,0.876
32,1.208,90.021,74,124,3.217,3.498,0.875,87,32,1.133,0.883,0.931
